gen,cand_id,parents,cv,rank,distance,Temperature change from 1850,Max cost of energy,Government net revenue below zero,Total energy below baseline
1,0_0,,0,1,inf,2.914862,26.457100000000004,0.0,4676.4144
1,0_1,,0,1,inf,3.197444,24.066499999999998,0.0,6279.733
1,1_10,,0,1,inf,2.7527899999999996,50.74882,0.0,6956.5244
1,1_15,,0,1,inf,2.3927620000000003,38.21884,0.0,14926.447799999998
1,1_27,,0,1,inf,2.607482,32.67476,105.00358311800001,7775.3780000000015
1,1_50,,0,1,inf,2.346818,30.9764,12.16814378,12968.431799999998
1,1_75,,0,1,0.7893546193034423,2.5970619999999998,34.3466,71.304533042,11844.035199999997
1,1_28,,0,1,0.6564901020264545,2.770208,26.901699999999998,40.864780608000004,10680.5356
1,1_14,,0,1,0.5061067863210461,2.586208,35.173899999999996,0.0,9910.662799999998
1,1_39,,0,1,0.5048629884768462,2.6547579999999997,32.65224,28.070674079999996,11875.7774
1,1_3,,0,1,0.4567204370549744,2.992624,24.20368,0.0,5468.5912
1,1_7,,0,1,0.36540009022384917,2.7788399999999998,26.33086,0.4558452579999999,7320.8894
1,1_92,,0,1,0.35984793475697047,2.4434080000000002,28.705040000000004,0.0,13008.238199999998
1,1_63,,0,1,0.27914530388648945,2.86967,36.1304,0.0,7190.203199999998
1,1_72,,0,1,0.23340815563695866,2.40115,33.52882,0.0,13481.137400000001
1,1_20,,0,1,0.1955822976530075,2.6570080000000003,27.137700000000002,0.0,7280.069
1,1_5,,0,1,0.19393769001077246,2.946534,24.20868,0.0,7114.4828
1,1_37,,0,1,0.10587245904543881,2.417512,35.46836,0.0,13104.963
1,1_43,,0,1,0.08658382662614934,2.4041620000000004,34.18901999999999,0.0,13253.0804
1,0_2,,0,2,inf,3.2745020000000005,24.61746,0.0,5917.524
1,1_35,,0,2,inf,2.62761,35.5136,51.14477962000001,10505.487399999998
1,1_47,,0,2,inf,2.44303,38.52492,0.0,14168.983799999996
1,1_70,,0,2,inf,2.514542,34.7887,0.0,15625.1254
1,1_88,,0,2,inf,2.572814,63.74136000000001,0.0,13674.3652
1,1_9,,0,2,0.716957888265365,2.627646,42.36938,0.0,13712.715399999997
1,1_62,,0,2,0.7056978174806682,2.9515300000000004,28.013500000000004,16.346382272,8850.1082
1,1_56,,0,2,0.6711819181177443,3.155698,25.02208,35.460742843999995,6506.6892
1,1_41,,0,2,0.5635114109610873,3.2251420000000004,25.26594,22.05461766,6099.9583999999995
1,1_23,,0,2,0.44447772794953916,2.61816,34.32744,8.14714522,13957.530999999997
1,1_60,,0,2,0.4345627361550444,2.992586,26.995060000000002,38.45548270759999,8033.1726
1,1_86,,0,2,0.42966834762159,2.676976,28.46926,0.9179964919999998,8918.807799999999
1,1_55,,0,2,0.38921014789008523,2.7334699999999996,29.00602,0.0,8098.916799999999
1,1_97,,0,2,0.336570886917801,2.66358,31.729879999999998,0.0,12429.594799999999
1,1_12,,0,2,0.2954784620050722,3.026896,25.28794,0.0,7027.071999999998
1,1_33,,0,2,0.19778764105919172,2.5117260000000003,37.817499999999995,0.0,14375.526600000001
1,1_42,,0,2,0.1958799543662417,2.6652460000000002,29.84744,0.0,12709.708000000002
1,1_71,,0,2,0.19421744660198237,2.7271740000000007,31.02256,0.0,7354.085999999998
1,1_64,,0,2,0.17654023580926742,2.5370999999999997,33.61838,0.0,14639.488400000002
1,1_13,,0,2,0.12803255062949886,3.0053639999999997,26.80446,0.0,7785.7991999999995
1,1_94,,0,2,0.11691952414881007,3.269522,26.337220000000002,0.0,6059.2554
1,1_18,,0,2,0.11249886587545574,2.537518,33.537780000000005,0.0,14301.5442
1,1_4,,0,3,inf,3.055444,26.183460000000004,0.0,7448.133200000001
1,1_40,,0,3,inf,3.152962,30.38422,0.0,7140.763800000001
1,1_45,,0,3,inf,2.519074,36.63868,0.0,16519.6016
1,1_46,,0,3,inf,2.7429740000000002,31.857699999999994,45.652349266,9407.159000000001
1,1_54,,0,3,inf,2.621418,38.57024,6.820555704,15088.535999999998
1,1_6,,0,3,1.4313851978986338,2.66567,35.720479999999995,35.91703751600001,13307.045399999997
1,1_99,,0,3,0.8598420846068539,2.6779400000000004,29.98126,8.03026858,10998.6292
1,1_31,,0,3,0.5072479042707271,2.818584,33.022859999999994,0.0,7873.5797999999995
1,1_11,,0,3,0.4385829943052515,2.558166,37.73482,0.0,15550.2976
1,1_77,,0,3,0.4008428344155997,2.931422,31.53808,0.0,7753.172999999998
1,1_81,,0,3,0.36167616193608565,2.691672,36.994,0.0,14008.848799999998
1,1_29,,0,3,0.32962244291504894,2.9980579999999994,29.96252,0.0,9182.7258
1,1_17,,0,3,0.3020912386673036,2.740738,30.6949,0.0,11590.0246
1,1_51,,0,3,0.2866272772843264,2.730702,36.2461,0.0,9877.926599999999
1,1_82,,0,3,0.28220079573358237,2.81628,29.014499999999998,0.0,9578.110399999998
1,1_58,,0,3,0.26356673630392896,3.014092,28.053800000000003,7.5877766059999985,7896.1438
1,1_76,,0,3,0.22045619196648264,2.738188,38.5367,0.0,8270.843799999999
1,1_61,,0,3,0.21863619177610966,3.02947,27.205099999999998,0.0,7882.1962
1,1_68,,0,3,0.16615093552660137,2.769196,31.83954,0.0,11418.2556
1,1_22,,0,3,0.10558466027833671,2.767286,36.4858,0.0,7636.2708
1,1_19,,0,4,inf,2.591238,40.1101,0.0,16253.9384
