cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
35_56,"['34_2', '34_72']",1,inf,-3490.96,-12.1084
36_13,"['34_73', '35_81']",1,inf,-3697.54,-11.3376
36_11,"['35_46', '34_77']",1,1.9298315874127907e-05,-3516.98,-12.0239
35_83,"['34_73', '34_11']",1,1.0676549723685654e-05,-3526.14,-11.9431
36_55,"['34_77', '35_42']",1,9.242199058190023e-06,-3520.1,-11.9839
35_7,"['34_2', '34_77']",1,7.378320957869019e-06,-3495.04,-12.0301
35_47,"['34_2', '34_35']",1,5.992750239455244e-06,-3600.47,-11.5872
36_47,"['35_56', '35_46']",1,5.639523745999909e-06,-3531.58,-11.8909
36_52,"['35_19', '35_60']",1,5.4408530954308845e-06,-3627.73,-11.4217
36_5,"['35_41', '35_71']",1,5.354577440212601e-06,-3544.39,-11.8139
36_58,"['35_83', '35_66']",1,4.669089793806892e-06,-3661.87,-11.3451
36_67,"['35_72', '35_47']",1,3.6970954949901338e-06,-3604.96,-11.4584
36_59,"['35_31', '35_46']",1,2.9567325807715602e-06,-3578.41,-11.6351
36_84,"['35_45', '35_71']",1,1.6379769501070184e-06,-3548.35,-11.7392
36_34,"['35_4', '35_36']",1,1.6149068291634986e-06,-3565.02,-11.7066
36_7,"['35_71', '34_67']",2,2.5312001290030014e-05,-3721.95,-11.3705
36_61,"['35_36', '35_31']",2,1.8758458551273242e-05,-3500.89,-12.0365
35_4,"['34_77', '33_48']",2,7.833397889482295e-06,-3549.22,-11.9009
34_73,"['33_49', '33_58']",2,7.697902609129936e-06,-3679.55,-11.3989
36_20,"['35_46', '35_83']",2,7.1300798594064975e-06,-3556.14,-11.8148
36_29,"['35_31', '35_31']",2,6.363911872344179e-06,-3650.37,-11.4409
36_76,"['35_72', '35_7']",2,5.944344887779212e-06,-3536.33,-11.9077
36_24,"['34_77', '35_83']",2,5.935800355262373e-06,-3498.3,-12.0686
36_37,"['35_7', '35_4']",2,5.490163212740631e-06,-3530.73,-11.9559
36_85,"['35_68', '35_57']",2,5.115636456491174e-06,-3607.91,-11.605
36_69,"['35_71', '35_66']",2,4.680094684051447e-06,-3584.05,-11.662
36_86,"['35_7', '35_71']",2,3.6113801740573807e-06,-3611.68,-11.5669
36_78,"['34_73', '35_41']",2,3.3401340372977343e-06,-3613.64,-11.5512
35_71,"['33_48', '34_73']",2,2.6771212589617182e-06,-3625.85,-11.5106
35_66,"['33_53', '34_63']",2,1.7016221624340032e-06,-3644.33,-11.4768
36_46,"['35_83', '35_71']",2,1.4880862466203077e-06,-3566.02,-11.7468
36_8,"['35_19', '35_58']",2,1.1490599283610553e-06,-3648.26,-11.4535
36_4,"['35_83', '35_10']",2,1.0549794223785667e-06,-3559.95,-11.7707
36_42,"['35_31', '35_49']",3,9.06470801418135e-06,-3593.4,-11.6974
36_56,"['35_19', '35_56']",3,5.727604177955427e-06,-3619.14,-11.622
36_27,"['35_56', '35_58']",3,5.538073312777068e-06,-3615.0,-11.6485
34_67,"['33_62', '33_5']",3,5.148306695877116e-06,-3537.5,-11.919
36_83,"['35_7', '35_58']",3,4.7899150568528504e-06,-3541.44,-11.9111
36_88,"['35_83', '35_45']",3,3.6527203567232098e-06,-3559.32,-11.8909
36_17,"['35_56', '35_41']",3,3.194543386863357e-06,-3556.32,-11.9106
36_31,"['35_66', '34_77']",3,2.373269965461613e-06,-3572.21,-11.7714
36_44,"['34_73', '35_47']",3,2.288219734578362e-06,-3634.01,-11.5672
36_16,"['34_73', '35_36']",3,2.224709442072991e-06,-3621.65,-11.6074
36_79,"['34_67', '35_47']",3,2.2165744235493616e-06,-3647.97,-11.4865
36_81,"['35_83', '34_67']",3,2.171334192766299e-06,-3587.17,-11.7327
36_3,"['35_46', '35_83']",3,2.0167085127043156e-06,-3585.98,-11.7573
36_73,"['35_41', '35_71']",3,1.941663159726955e-06,-3649.1,-11.456
36_2,"['35_56', '35_31']",3,1.441611082444562e-06,-3626.44,-11.5891
36_62,"['35_83', '34_73']",3,1.3318907108764767e-06,-3645.92,-11.5225
36_28,"['35_49', '34_77']",3,1.2345752468257985e-06,-3635.67,-11.5303
36_77,"['35_47', '35_36']",3,1.050109525982594e-06,-3566.5,-11.7757
36_23,"['35_71', '34_67']",4,1.4390815266827026e-05,-3673.24,-11.4665
36_57,"['35_58', '35_41']",4,6.978384379182551e-06,-3656.66,-11.5052
36_36,"['35_46', '35_66']",4,5.235956958838977e-06,-3657.3,-11.4708
36_12,"['35_47', '34_77']",4,4.524234070596779e-06,-3604.23,-11.7254
36_26,"['35_10', '35_46']",4,3.6465853628755403e-06,-3570.63,-11.7951
36_1,"['35_47', '35_41']",4,3.6406456169661404e-06,-3568.59,-11.871
36_15,"['35_31', '35_10']",4,3.2511186756504016e-06,-3637.12,-11.5424
36_6,"['35_46', '34_77']",4,2.968237477184536e-06,-3542.27,-11.9138
36_14,"['34_73', '34_77']",4,2.5168605912209416e-06,-3678.85,-11.4602
36_21,"['35_66', '35_58']",4,2.0667837212959694e-06,-3646.07,-11.5348
36_89,"['35_10', '35_56']",4,1.3026205134388933e-06,-3627.28,-11.658
36_22,"['35_14', '35_81']",4,1.2588803011624592e-06,-3650.19,-11.5328
36_18,"['35_83', '34_73']",4,1.2135702332041775e-06,-3587.11,-11.7879
36_53,"['35_72', '35_41']",4,1.1407598259577118e-06,-3564.42,-11.907
36_50,"['35_60', '35_56']",4,9.346541655019389e-07,-3620.81,-11.6718
36_0,"['35_81', '35_72']",5,1.1366267585968021e-05,-3662.72,-11.4863
36_9,"['35_48', '34_73']",5,1.0773600102622386e-05,-3686.79,-11.4742
36_48,"['35_47', '35_57']",5,6.309606447875409e-06,-3632.66,-11.7067
36_39,"['35_49', '35_7']",5,3.982776728001705e-06,-3547.6,-11.9428
36_35,"['35_41', '35_7']",5,3.7908109146249017e-06,-3610.05,-11.745
36_51,"['35_60', '35_10']",5,3.258553685537606e-06,-3639.37,-11.5531
36_10,"['34_67', '34_77']",5,2.9110621809948398e-06,-3572.99,-11.8139
36_64,"['35_31', '35_36']",5,1.1108547025300955e-06,-3578.84,-11.8018
36_68,"['35_68', '35_58']",6,1.0797170229734782e-05,-3697.2,-11.4799
36_80,"['34_67', '35_71']",6,6.25803122077667e-06,-3589.26,-11.8021
36_82,"['35_4', '35_46']",6,4.57960934457852e-06,-3580.46,-11.8267
36_19,"['35_41', '35_58']",6,4.06799204276558e-06,-3563.89,-11.9528
36_74,"['35_68', '35_49']",6,3.9951117983434396e-06,-3643.07,-11.5996
36_49,"['35_4', '35_83']",6,3.985906930307294e-06,-3560.37,-12.0431
36_25,"['35_2', '34_67']",6,3.3558643950585444e-06,-3575.92,-11.8428
36_45,"['34_77', '35_71']",6,2.107023890390727e-06,-3567.05,-11.9521
35_41,"['34_67', '34_67']",6,1.948563244857447e-06,-3585.11,-11.808
