cand_id,parents,rank,distance,CO2 Gross emissions,Total cost of energy
61_66,"['60_87', '59_77']",1,inf,-5.07507,-8.4733
61_63,"['60_33', '60_21']",1,inf,-5.18714,-7.92183
61_62,"['60_6', '60_60']",1,0.0004916885846619099,-5.13777,-7.95717
61_67,"['60_21', '59_77']",1,0.0003086122371331936,-5.08889,-8.27587
61_58,"['60_24', '59_77']",1,0.00020562414295762432,-5.09829,-8.15424
61_40,"['60_87', '59_77']",1,0.00019146985359440847,-5.08591,-8.44242
61_9,"['60_21', '59_75']",1,9.710592249808042e-05,-5.11406,-8.01829
61_33,"['60_65', '60_33']",1,5.736995570105467e-05,-5.09761,-8.18414
61_64,"['60_60', '60_24']",1,3.887091159709383e-05,-5.10082,-8.12748
61_5,"['60_21', '60_33']",2,0.0006232072221808709,-5.14993,-7.98355
61_45,"['60_29', '60_21']",2,0.00037335890210549226,-5.1254,-8.04389
61_69,"['59_75', '60_2']",2,0.0003178521258990017,-5.09765,-8.33363
61_46,"['60_6', '60_24']",2,0.00030720852579744075,-5.19304,-7.96252
60_60,"['59_75', '58_0']",2,0.0002648871645965218,-5.10582,-8.16962
60_21,"['59_36', '59_11']",2,0.00021837700914636854,-5.12257,-8.11169
61_81,"['60_21', '60_11']",2,0.00017397635316904897,-5.10308,-8.22832
61_34,"['60_65', '60_2']",2,0.00013723458952089236,-5.086,-8.44903
60_2,"['59_74', '59_77']",2,4.4676819965115504e-05,-5.09749,-8.38811
61_71,"['60_36', '60_87']",3,0.000899144189209484,-5.08858,-8.50726
60_33,"['59_71', '59_35']",3,0.0003991042776679373,-5.17336,-8.01386
61_32,"['60_1', '60_85']",3,0.00025089665822946433,-5.13224,-8.0753
60_65,"['58_0', '59_77']",3,0.0001877137354632868,-5.09558,-8.46954
61_65,"['60_37', '59_77']",3,0.00016296012565532572,-5.09626,-8.46335
61_83,"['60_2', '60_11']",3,0.0001146068210905187,-5.10325,-8.3256
61_8,"['60_36', '59_77']",3,9.951142538667409e-05,-5.09904,-8.44664
61_18,"['60_11', '60_85']",3,4.9780734755549664e-05,-5.12495,-8.18327
61_60,"['60_33', '59_77']",3,4.742162995001594e-05,-5.10699,-8.18919
61_26,"['59_75', '60_8']",3,3.76032788910975e-05,-5.12564,-8.1294
60_87,"['59_77', '58_0']",4,0.0008534526060087087,-5.10101,-8.5734
61_31,"['60_39', '60_6']",4,0.00031440171872890903,-5.18285,-8.0206
59_77,"['58_0', '57_27']",4,0.0001792664543643179,-5.10211,-8.45655
61_20,"['60_24', '60_21']",4,0.00017383650119666996,-5.13463,-8.0856
61_13,"['60_65', '60_67']",4,0.00015392352900666176,-5.10849,-8.30671
61_22,"['60_11', '60_21']",4,0.00013252015325241812,-5.13024,-8.14003
61_44,"['60_8', '60_67']",4,2.8902810068676325e-05,-5.11531,-8.19007
60_6,"['59_36', '59_36']",5,0.0008505916172112504,-5.21999,-8.05412
