cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
51_1,"['50_32', '50_62']",1,inf,-3855.9,-14.4908,-9.598759
56_89,"['55_34', '51_67']",1,inf,-4458.38,-11.861,-9.441889
57_12,"['56_64', '56_39']",1,inf,-4013.25,-14.5767,-9.098455999999999
58_80,"['53_68', '51_1']",1,4.69783393828016e-05,-3931.63,-14.2476,-9.466902
59_63,"['51_1', '58_19']",1,4.0850437776346014e-05,-3880.06,-14.2288,-9.622135
59_80,"['56_89', '58_24']",1,3.347183581080218e-05,-4301.33,-12.6608,-9.347717999999999
59_35,"['57_12', '56_89']",1,3.102610635834696e-05,-4274.52,-13.0418,-9.305641
59_58,"['51_1', '58_24']",1,2.705122088735051e-05,-4030.4,-14.0695,-9.361042
59_69,"['58_26', '56_89']",1,2.587800375881327e-05,-4370.35,-12.2191,-9.453279
58_51,"['57_30', '57_77']",1,2.4202520556379198e-05,-3963.31,-13.6751,-9.579123
59_6,"['58_51', '56_89']",1,2.3869160023669555e-05,-4074.66,-13.1409,-9.488291
59_57,"['56_89', '58_74']",1,2.3541201419639584e-05,-4409.55,-12.1114,-9.541534000000002
59_47,"['58_51', '58_2']",1,2.315445374706885e-05,-3896.47,-13.8989,-9.563485
59_32,"['58_53', '56_89']",1,1.9198494634661004e-05,-4343.71,-12.6772,-9.296247999999999
59_87,"['58_18', '58_80']",1,1.658253088969292e-05,-4017.48,-13.7884,-9.486068999999999
59_48,"['58_18', '58_20']",1,1.448662952398274e-05,-4213.9,-13.2586,-9.249717
59_89,"['58_2', '58_40']",1,1.4301456771382043e-05,-4044.38,-13.8443,-9.338714000000001
59_10,"['56_81', '57_12']",1,1.4095686331672354e-05,-4216.3,-13.0551,-9.152814000000001
59_59,"['58_24', '57_12']",1,1.2777522986199415e-05,-4111.77,-13.7977,-9.206581
59_74,"['58_53', '58_74']",1,1.2400060437330282e-05,-4235.92,-12.9739,-9.389644
59_33,"['58_18', '58_61']",1,1.1553181803063038e-05,-4253.56,-13.0143,-9.319818999999999
