cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
39_87,"['38_57', '36_70']",1,,-3567.69,-12.9683,-11.018807
39_79,"['37_60', '38_47']",1,inf,-3798.51,-11.9222,-9.900523000000002
39_43,"['38_59', '38_11']",1,0.0,-3609.37,-12.3256,-10.935283000000002
39_23,"['37_7', '37_7']",1,0.0,-3627.23,-12.6682,-10.907562
37_7,"['35_20', '36_70']",1,0.0,-3575.9,-12.8746,-10.902925999999999
39_71,"['37_70', '38_57']",1,0.0,-3653.79,-12.1966,-10.662062
39_81,"['38_81', '38_4']",1,0.0,-3663.79,-12.0208,-10.652915000000002
39_60,"['38_81', '38_36']",1,0.0,-3672.37,-12.18,-10.642973000000001
39_38,"['38_27', '37_70']",1,0.0,-3596.85,-12.7419,-10.616159999999999
39_78,"['38_82', '37_70']",1,0.0,-3668.6,-12.2091,-10.525701
39_57,"['37_60', '38_75']",1,0.0,-3699.92,-12.0895,-10.453461999999998
39_21,"['38_4', '37_70']",1,0.0,-3631.72,-12.7599,-10.428014000000001
39_82,"['38_41', '38_57']",1,0.0,-3632.32,-12.4738,-10.397766
39_85,"['38_25', '37_60']",1,0.0,-3722.37,-12.0753,-10.310218
39_30,"['36_70', '38_25']",1,0.0,-3671.49,-12.6172,-10.283898
39_19,"['37_70', '38_66']",1,0.0,-3720.17,-12.1043,-10.187501999999999
39_69,"['38_11', '37_60']",1,0.0,-3692.83,-12.1202,-10.13313
37_60,"['36_56', '36_24']",1,0.0,-3764.19,-11.9337,-10.054326
39_18,"['38_47', '38_82']",1,0.0,-3709.53,-12.2817,-10.047877
39_61,"['38_82', '38_42']",1,0.0,-3745.37,-12.0221,-10.029004
39_68,"['38_66', '38_57']",1,0.0,-3736.7,-12.3866,-10.024422
38_42,"['37_29', '37_75']",1,0.0,-3778.89,-12.1397,-9.988124000000001
39_28,"['38_27', '37_7']",1,0.0,-3750.99,-12.1573,-9.980191000000001
39_59,"['38_47', '36_70']",1,0.0,-3745.65,-12.41,-9.958699
39_17,"['37_7', '38_76']",1,0.0,-3733.37,-12.581,-9.957135999999998
39_32,"['37_60', '38_41']",1,0.0,-3760.31,-12.1976,-9.943852
39_4,"['38_8', '38_42']",1,0.0,-3744.75,-12.5646,-9.933246
39_73,"['38_57', '38_76']",1,0.0,-3800.5,-12.1136,-9.872748999999999
38_76,"['37_31', '37_82']",1,0.0,-3834.04,-12.0126,-9.872488
39_88,"['38_59', '38_76']",1,0.0,-3811.08,-12.1871,-9.87235
39_11,"['38_8', '38_76']",1,0.0,-3835.43,-12.8732,-9.871895
39_36,"['38_42', '38_47']",1,0.0,-3840.26,-12.4667,-9.871238
39_84,"['38_27', '38_8']",1,0.0,-3787.89,-13.2286,-9.869808000000003
39_83,"['37_6', '38_41']",1,0.0,-3861.63,-13.1769,-9.869007
39_45,"['37_70', '38_8']",1,0.0,-3864.31,-12.7036,-9.868563
39_0,"['38_41', '37_6']",1,0.0,-3938.69,-14.0364,-9.868395000000001
39_49,"['38_71', '38_58']",1,0.0,-4051.6,-13.4562,-9.866194
