cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
84_20,"['82_26', '83_21']",1,inf,-2801.93,-6.88597,-12.51288
86_64,"['85_59', '85_28']",1,inf,-2890.11,-5.98238,-11.977481999999998
83_33,"['82_27', '77_14']",1,inf,-3348.58,-10.9878,-8.637046000000002
87_46,"['85_19', '86_44']",1,0.0,-2883.61,-6.0297,-12.21482
85_19,"['82_26', '82_26']",1,0.0,-2849.16,-6.06351,-12.19013
85_49,"['83_24', '84_26']",1,0.0,-2848.13,-6.13765,-12.18755
87_3,"['85_49', '84_37']",1,0.0,-2853.69,-6.18089,-12.180819999999999
86_50,"['85_30', '85_45']",1,0.0,-2833.21,-6.23688,-12.151580000000001
87_19,"['85_49', '86_64']",1,0.0,-2854.3,-6.08722,-12.133260000000002
87_4,"['86_44', '86_57']",1,0.0,-2835.98,-6.18588,-12.119710000000001
87_8,"['86_64', '86_0']",1,0.0,-2854.48,-6.12749,-12.078
87_37,"['86_39', '86_59']",1,0.0,-2847.6,-6.21075,-12.01017
87_54,"['86_59', '86_42']",1,0.0,-2810.13,-6.77651,-12.004334
87_30,"['84_37', '86_42']",1,0.0,-2833.03,-6.24385,-11.989588999999999
87_11,"['86_51', '84_37']",1,0.0,-2811.2,-6.96849,-11.971426000000001
87_70,"['86_64', '86_42']",1,0.0,-2876.07,-6.04994,-11.781151
87_88,"['86_10', '85_59']",1,0.0,-2913.07,-6.25181,-11.539040000000002
87_82,"['86_42', '86_31']",1,0.0,-2934.8,-6.56571,-11.46063
87_80,"['85_19', '86_67']",1,0.0,-2969.49,-6.74777,-11.177455
87_41,"['86_57', '86_38']",1,0.0,-2973.18,-6.93768,-11.12779
87_66,"['83_33', '85_45']",1,0.0,-2989.06,-7.71363,-10.281398000000001
87_45,"['83_33', '86_51']",1,0.0,-3085.09,-8.45406,-9.828235000000001
87_20,"['85_12', '83_33']",1,0.0,-3027.49,-8.56676,-9.57778
85_45,"['84_20', '84_69']",2,0.0,-2822.8,-6.80589,-12.471549999999999
87_14,"['85_59', '84_34']",2,0.0,-2836.06,-6.61245,-12.40832
87_42,"['85_19', '85_45']",2,0.0,-2880.33,-6.17743,-12.40435
87_60,"['86_59', '84_20']",2,0.0,-2856.62,-6.70071,-12.397490000000001
87_25,"['85_12', '85_59']",2,0.0,-2881.03,-6.11954,-12.333597
87_29,"['85_12', '86_39']",2,0.0,-2882.74,-6.13777,-12.322849999999999
87_65,"['86_59', '85_12']",2,0.0,-2853.39,-6.80567,-12.30194
87_79,"['85_49', '84_37']",2,0.0,-2861.62,-6.29439,-12.275480000000002
87_47,"['84_37', '86_64']",2,0.0,-2856.08,-6.72441,-12.27332
84_37,"['80_60', '83_44']",2,0.0,-2818.95,-6.93751,-12.267280000000001
87_2,"['86_64', '85_45']",2,0.0,-2878.71,-6.1864,-12.23274
87_49,"['85_49', '85_45']",2,0.0,-2845.36,-6.81323,-12.213989000000002
84_34,"['83_14', '83_37']",2,0.0,-2820.31,-7.0602,-12.202639999999999
86_59,"['84_37', '84_34']",2,0.0,-2821.01,-6.88701,-12.187999999999999
87_74,"['86_39', '85_45']",2,0.0,-2867.5,-6.19244,-12.18122
87_69,"['86_64', '86_0']",2,0.0,-2888.47,-6.05448,-12.156763
87_21,"['84_34', '86_0']",2,0.0,-2864.47,-6.79302,-12.103094
87_58,"['85_45', '85_49']",2,0.0,-2879.02,-6.23057,-12.10282
87_43,"['86_59', '86_59']",2,0.0,-2865.36,-6.8224,-12.099749999999998
87_61,"['86_59', '84_37']",2,0.0,-2826.37,-6.90436,-12.09417
87_23,"['86_42', '85_19']",2,0.0,-2883.01,-6.08606,-11.976989999999999
87_1,"['86_0', '86_39']",2,0.0,-2894.82,-6.11399,-11.965869
