cand_id,parents,rank,distance,CO2 Gross emissions,Total cost of energy
8_32,"['7_50', '7_50']",1,inf,-10.9164,-16.0411
8_11,"['7_54', '7_44']",1,inf,-17.0399,-13.3047
7_50,"['5_87', '6_9']",1,0.004471612983380761,-10.9433,-15.996
8_46,"['7_5', '6_9']",1,0.003095731644439095,-11.4057,-14.7336
8_55,"['7_50', '7_54']",1,0.002675099119676316,-12.8698,-14.4201
8_78,"['7_44', '7_54']",1,0.0025234219544608737,-15.7865,-13.5624
7_54,"['6_72', '6_9']",1,0.0008508948845125484,-14.0059,-13.7036
8_84,"['7_16', '7_16']",2,0.02903586190436027,-11.285,-26.8922
8_38,"['7_43', '7_43']",2,0.01361981134701885,-25.6102,-13.5529
7_16,"['5_87', '5_87']",2,0.006531690084227243,-11.2706,-26.9736
8_88,"['7_42', '7_50']",2,0.0042853221990623806,-11.4661,-15.8667
8_0,"['7_54', '7_54']",2,0.003911484703058899,-14.1664,-13.8344
7_44,"['5_63', '5_57']",2,0.003199633051400302,-18.5105,-13.7026
7_33,"['6_11', '6_9']",2,0.0018834235518073645,-13.7947,-15.1305
6_9,"['5_52', '5_13']",2,0.0012806075281375977,-11.7229,-15.5143
7_43,"['6_48', '6_48']",3,0.01305288786159676,-23.2519,-13.7618
8_52,"['7_50', '5_87']",3,0.010302048316518994,-11.7217,-16.995
8_49,"['7_69', '7_70']",3,0.00823027453708252,-12.1751,-16.7253
5_63,"['4_77', '3_2']",3,0.007835123956926041,-22.8416,-13.8995
8_31,"['5_63', '7_50']",3,0.005258057816421219,-21.7657,-14.0621
8_77,"['7_42', '7_50']",3,0.0023690349031680914,-12.4242,-15.5404
8_76,"['7_79', '7_63']",3,0.002364831103955827,-14.3072,-15.1996
8_87,"['6_9', '7_53']",3,0.0016782082767028575,-14.3622,-14.0663
8_47,"['7_43', '7_4']",4,0.017462206528051864,-24.9598,-14.0665
8_71,"['7_29', '7_31']",4,0.012591641257122116,-11.7976,-17.6278
8_41,"['7_4', '5_13']",4,0.006053058206038943,-15.023,-14.7041
8_63,"['7_44', '7_50']",4,0.005986036775570802,-16.4511,-14.1644
8_83,"['7_5', '5_13']",4,0.004636512491628891,-15.3117,-14.6229
8_40,"['6_9', '5_57']",4,0.002986729250200995,-13.6345,-15.9001
8_39,"['7_44', '7_50']",4,0.0025215304961947564,-13.8656,-15.7409
8_36,"['6_9', '7_16']",4,0.0024220452633208762,-12.5765,-16.4006
7_42,"['5_87', '6_9']",4,0.0022014653400612796,-12.7525,-16.2809
8_22,"['6_9', '7_51']",4,0.002018025345451542,-13.4968,-16.019
8_1,"['7_63', '5_13']",4,0.0016006517432721674,-14.4505,-15.3221
8_29,"['7_79', '7_42']",4,0.0011466642571709399,-13.9996,-15.6246
8_34,"['7_51', '7_1']",4,0.0006983810808848714,-13.207,-16.0195
8_51,"['7_16', '7_50']",5,0.8335155423874923,-11.9573,-30.1306
8_19,"['5_13', '6_48']",5,0.022022117604851715,-24.1729,-14.3023
8_7,"['6_48', '7_67']",5,0.013332348734860677,-22.588,-14.4701
7_29,"['6_56', '5_57']",5,0.006946074043845804,-12.3779,-18.2116
8_12,"['6_9', '5_63']",5,0.0057758593660415525,-18.1215,-14.573
8_64,"['7_31', '7_42']",5,0.005423997689709605,-13.4809,-16.2357
8_25,"['7_54', '7_5']",5,0.004678057895339943,-15.7112,-14.7933
8_20,"['7_37', '6_9']",5,0.0040179161753544764,-13.0096,-16.33
8_30,"['7_16', '7_54']",5,0.003457508484319959,-12.6286,-16.7741
8_62,"['7_31', '6_9']",5,0.0032744717301253093,-14.7904,-15.7185
8_69,"['7_51', '6_9']",5,0.0029452406403548455,-14.8735,-15.5355
8_3,"['7_16', '7_53']",5,0.0027591734982737536,-14.0137,-15.9594
8_65,"['7_42', '7_79']",5,0.002538779091041125,-14.5378,-15.8211
8_57,"['7_33', '7_42']",5,0.0021565880600801033,-12.9058,-16.7365
8_37,"['7_63', '6_9']",5,0.0018024129061297248,-15.7527,-14.6412
8_13,"['7_4', '6_48']",6,0.19099336366241865,-25.8946,-14.39
8_4,"['7_29', '7_29']",6,0.0056728965720892165,-12.728,-17.8631
8_59,"['7_42', '7_33']",6,0.0036218260680821535,-13.2206,-16.3989
8_50,"['7_29', '7_31']",6,0.003577182103974885,-13.1818,-16.8854
8_72,"['7_42', '7_53']",6,0.003091779828755237,-14.6414,-15.8847
8_27,"['7_44', '7_50']",6,0.0026945453310669057,-15.9642,-15.4993
8_66,"['7_54', '7_43']",6,0.0021452781163124397,-16.0859,-14.7932
8_8,"['6_9', '7_70']",6,0.0014998832671300893,-14.4777,-16.2372
8_26,"['5_63', '6_9']",7,0.00441234438444712,-18.3237,-15.0193
8_44,"['7_50', '7_44']",7,0.004091293038023043,-16.2185,-15.2055
8_68,"['7_70', '7_33']",7,0.0035943025449952795,-17.972,-15.0968
8_70,"['7_79', '7_70']",7,0.003545532516539473,-18.5268,-14.8133
8_9,"['7_63', '7_50']",7,0.002283162960990224,-13.6831,-16.4076
8_10,"['6_20', '7_16']",7,0.001577138423459682,-16.0494,-15.9804
8_21,"['7_63', '7_70']",7,0.0006244255924642917,-16.0655,-15.8809
8_60,"['7_33', '7_31']",8,0.010916359577418286,-17.8185,-15.4734
8_67,"['7_31', '7_4']",8,0.009968270514208257,-20.9773,-14.98
8_17,"['7_31', '7_43']",8,0.005944913279929399,-18.844,-15.324
8_86,"['7_31', '7_37']",8,0.005792242412848456,-15.3613,-16.8886
8_5,"['7_37', '7_67']",8,0.005212709234797724,-16.1931,-16.4404
8_24,"['7_70', '7_16']",8,0.003550692002689481,-13.8011,-17.846
8_54,"['7_33', '5_63']",8,0.0033773300416484278,-19.796,-15.1434
8_73,"['7_51', '7_29']",8,0.0027605565540768286,-13.9308,-16.9931
8_33,"['7_44', '7_29']",8,0.0020972127053728393,-16.5034,-15.5649
8_89,"['7_16', '5_63']",9,0.011935815564841364,-20.7714,-15.2992
8_2,"['7_42', '7_43']",9,0.006961185460517637,-21.532,-15.1444
8_48,"['7_5', '6_48']",9,0.005543185441626003,-19.651,-15.3454
8_43,"['7_70', '7_43']",9,0.004239402391979126,-19.4613,-15.4908
8_58,"['7_43', '7_16']",9,0.0027051892405822323,-18.8045,-15.5453
