cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Year Zero Emissions Reached,Average Percent Energy Change
26_108,"['13_85', '13_85']",1,inf,-9.89452,66.6141,2042.0,0.023413678953710635
40_20,"['27_89', '27_89']",1,inf,0.064413,71.099,2100.0,0.014435969324852851
44_119,"['41_109', '43_16']",1,inf,61.3332,24.1633,2100.0,0.009569212427408897
49_151,"['33_90', '33_90']",1,inf,84.8919,19.435,2100.0,0.010556930466903461
52_91,"['32_87', '32_87']",1,inf,-9.64583,76.9589,2038.0,0.02508355199316896
54_73,"['51_35', '53_142']",1,inf,-8.74319,12.9494,2042.0,0.024389972551755505
56_19,"['55_42', '49_55']",1,inf,-9.02851,79.081,2040.0,0.02398686428052513
57_83,"['56_64', '55_101']",1,0.19307862762618827,74.3318,22.5289,2100.0,0.01031175134820043
58_175,"['56_76', '56_150']",1,0.1809701878894103,0.361985,48.3425,2098.0,0.015179709415161223
58_19,"['57_34', '44_119']",1,0.1764680604858996,47.921,24.8357,2100.0,0.011868851680180028
57_122,"['56_130', '56_133']",1,0.1641819932456479,-0.520784,30.3858,2084.0,0.017337666713804933
57_159,"['56_80', '56_150']",1,0.1486026026615523,-4.93713,51.1288,2079.0,0.015911985261744543
56_150,"['55_4', '55_116']",1,0.14670692851818706,-1.75496,57.0999,2093.0,0.015022541049990129
58_37,"['57_83', '56_122']",1,0.131251525488635,45.7302,26.3113,2100.0,0.011124696385945614
54_101,"['53_163', '53_31']",1,0.13041392651967224,-3.52014,33.2933,2074.0,0.016494800020220475
58_48,"['57_136', '56_76']",1,0.13005734574881891,-5.53594,43.0965,2061.0,0.018190181928197605
58_124,"['57_58', '56_76']",1,0.12889705859099634,37.4237,25.1565,2100.0,0.012479500158856863
58_79,"['57_116', '57_83']",1,0.12438244943801009,56.4556,25.0874,2100.0,0.010277079548226683
58_141,"['57_126', '49_151']",1,0.12249189931965451,66.6101,23.9675,2100.0,0.009853937033711882
58_84,"['44_119', '57_83']",1,0.12065412090919744,69.5381,23.2409,2100.0,0.010080449086139844
58_75,"['57_70', '57_116']",1,0.11603497132007834,22.9876,28.1127,2100.0,0.013785476066848367
58_145,"['57_101', '57_60']",1,0.11500748782311532,-9.07081,76.2563,2040.0,0.024364361394468955
58_139,"['40_20', '57_26']",1,0.11243151913007436,-5.45233,54.0933,2076.0,0.017166498027877335
58_149,"['54_101', '56_19']",1,0.1101924898577419,-7.82298,71.2887,2049.0,0.02079760000178821
58_76,"['49_151', '57_122']",1,0.10881527864555395,33.9965,26.3109,2100.0,0.012935169670053308
58_5,"['56_76', '54_101']",1,0.10828882829093085,-0.42699,58.5842,2091.0,0.015552986316367727
58_142,"['57_87', '57_100']",1,0.10365682749082791,-5.30847,50.5995,2072.0,0.016800131220240204
58_32,"['40_20', '57_159']",1,0.10174816141902639,-2.69475,64.1751,2088.0,0.01573046635113401
58_62,"['57_136', '56_176']",1,0.0948761252802107,-7.808,46.3039,2048.0,0.020589375013723005
58_154,"['55_146', '56_150']",1,0.09418654305374875,-1.82959,69.4047,2087.0,0.015736103663464847
58_9,"['57_50', '57_50']",1,0.09336920968581047,-7.69081,16.0267,2042.0,0.023588585758108883
58_90,"['57_74', '57_116']",1,0.09329033147674368,18.8663,28.4332,2100.0,0.013985666200184193
58_0,"['57_101', '57_89']",1,0.0931685397322149,-0.1991,19.5572,2068.0,0.020534959908278718
58_104,"['57_74', '57_83']",1,0.09267394172346649,29.3895,28.3939,2100.0,0.013374639414955345
58_47,"['57_50', '57_16']",1,0.09205187093085201,-7.6102,36.735,2044.0,0.022363478536647725
58_77,"['57_94', '57_87']",1,0.0855655633546821,-5.99599,68.492,2064.0,0.017530304622647045
58_33,"['44_119', '57_116']",1,0.08539873697563859,39.6679,27.8069,2100.0,0.010965068378476682
58_93,"['40_20', '57_63']",1,0.08267693559145828,-8.10196,52.484,2059.0,0.019346540926359457
58_177,"['57_101', '57_60']",1,0.08172260880362858,-8.9701,66.5751,2040.0,0.024755603349622516
58_150,"['57_101', '57_74']",1,0.07918212095690477,-6.74197,40.1108,2050.0,0.020508413876266833
58_26,"['57_136', '56_150']",1,0.07775506632462162,-6.42163,40.9957,2058.0,0.01860150609198969
58_102,"['56_176', '56_176']",1,0.07640826485734901,-6.33126,70.4949,2065.0,0.01769225842715106
58_87,"['57_120', '57_83']",1,0.07603478802907758,38.708,26.9416,2100.0,0.01163454773979629
57_60,"['56_103', '56_56']",1,0.0743568678363648,-8.00519,65.0946,2041.0,0.023132080514802547
58_3,"['57_5', '57_126']",1,0.0740958265123311,57.8378,23.9832,2100.0,0.010876844520349304
58_122,"['57_58', '40_20']",1,0.07356823555487149,13.2099,29.7877,2100.0,0.014631241506504538
58_58,"['57_101', '57_159']",1,0.07248610989061754,-7.20088,58.5499,2045.0,0.02167862603820721
58_73,"['57_70', '44_119']",1,0.06968494410507273,32.0631,25.9378,2100.0,0.013223032153970202
58_140,"['57_74', '52_91']",1,0.06940157848349886,-6.42756,17.1798,2047.0,0.021360625613156506
58_44,"['57_159', '57_89']",1,0.06783384366684114,10.3484,30.4291,2100.0,0.015274625059605276
58_61,"['57_122', '54_73']",1,0.06749983419654781,-6.25766,21.7771,2053.0,0.021000480243519738
58_121,"['56_76', '56_176']",1,0.06704857240475663,-3.60827,56.3361,2078.0,0.01632553583586208
58_30,"['57_63', '57_136']",1,0.06645352383153715,-8.73156,37.2911,2044.0,0.022414763187154137
58_162,"['57_126', '57_159']",1,0.06609417866163679,9.25329,31.7172,2100.0,0.01475863103565057
58_34,"['57_135', '57_136']",1,0.06559670525185146,-5.18893,19.3438,2057.0,0.021061234062658047
58_59,"['57_159', '56_76']",1,0.06533635852607737,-1.10509,29.2394,2093.0,0.015391663705104811
58_170,"['40_20', '54_73']",1,0.0640346440190907,-7.78863,62.7749,2060.0,0.01877277851145125
58_155,"['57_16', '56_150']",1,0.06183813202207262,-5.20094,26.726,2070.0,0.017872283896788008
