cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change Percent
9_42,"['3_53', '5_9']",1,inf,70.6384,20.2781,0.008290056812950435
77_83,"['73_75', '76_11']",1,inf,53.3067,16.3319,0.02277547421763716
80_69,"['71_12', '79_16']",1,inf,71.4478,19.3861,0.010743029880739299
81_83,"['80_33', '78_40']",1,inf,19.5391,53.5497,0.03242647816760279
81_72,"['79_26', '80_79']",1,inf,44.8183,18.4934,0.12198663998229124
83_79,"['81_3', '81_3']",1,inf,17.1262,24.7022,0.03639442304158658
82_53,"['78_11', '78_40']",1,0.5429758225812062,37.4946,44.6505,0.01351428003439313
82_3,"['81_89', '81_89']",1,0.4350547351133074,44.8995,18.3901,0.09610517230584693
78_40,"['73_43', '77_52']",1,0.36819674432621025,30.3157,35.0647,0.016353308753288196
83_89,"['81_52', '82_3']",1,0.3070972240553722,48.2816,17.8336,0.07427141356413577
83_83,"['80_69', '77_83']",1,0.2995902473010365,62.8872,23.315,0.012942943683138771
83_30,"['82_59', '81_83']",1,0.20214510233529373,35.3341,32.6346,0.018812855638962178
83_59,"['82_1', '78_40']",1,0.18207977859030988,24.7588,29.7652,0.019680216819181844
83_44,"['82_1', '82_28']",1,0.15554372024085186,25.7012,33.1754,0.018489777747944015
83_62,"['77_83', '82_35']",1,0.1474148095352874,50.7707,16.9203,0.05736230470427656
83_68,"['82_87', '82_0']",1,0.14403492121547468,46.5252,20.0698,0.048491635273834224
83_48,"['82_54', '82_68']",1,0.1405223208390709,47.0347,18.5001,0.03795325968026446
83_14,"['82_87', '82_45']",1,0.12976423673040977,44.4719,18.662,0.06559458441518472
83_66,"['81_83', '81_72']",1,0.12251560985891193,29.8013,27.4091,0.023792838060619454
83_39,"['77_83', '81_72']",1,0.11406744475347444,48.6381,17.702,0.0522285904140101
83_25,"['82_87', '9_42']",1,0.11374565504602688,67.5488,20.2644,0.015139690548994365
83_46,"['77_83', '82_35']",1,0.10098781985309528,50.1471,17.236,0.02803382101523098
83_67,"['82_28', '81_3']",1,0.10034135689126664,21.1709,24.8992,0.030879675676825518
83_60,"['82_43', '82_23']",1,0.09605634197742885,35.9938,26.7751,0.024611908427664444
83_51,"['82_3', '82_54']",1,0.09434622622386257,45.0002,18.0455,0.06368921256380568
83_76,"['82_68', '82_54']",1,0.08675307250488051,44.1184,20.2382,0.035440927146903896
83_27,"['82_68', '82_3']",1,0.08628571423790371,38.848,20.803,0.026249309074441268
83_75,"['78_40', '82_45']",1,0.08583853243250787,41.6504,21.808,0.019170754580899268
83_18,"['82_1', '82_1']",1,0.07532387042513362,22.3267,27.8455,0.022003712238665343
83_24,"['82_53', '81_72']",1,0.07451286702654152,38.09,25.5221,0.019890519496138338
83_29,"['81_3', '81_3']",1,0.07017813610702939,17.7768,24.474,0.036053379066805356
83_38,"['82_47', '82_68']",1,0.06940979731119672,51.3597,20.6279,0.015392949659521562
83_54,"['80_69', '82_43']",1,0.06778174189660838,68.1454,21.5152,0.010764030098717684
83_52,"['82_16', '82_28']",1,0.06678483682441569,30.0777,28.4056,0.020401242104730134
83_85,"['82_47', '9_42']",1,0.06357456380933586,69.2174,20.2623,0.01056393419658192
83_87,"['9_42', '82_47']",1,0.06325725873563906,70.3928,19.6212,0.012564866615454626
83_74,"['82_0', '78_40']",1,0.06136711325139362,40.2668,24.6421,0.017494800289416853
83_10,"['78_40', '78_40']",1,0.056216636770456616,30.2976,34.7355,0.01642481645280611
83_6,"['82_87', '82_68']",1,0.055092645592822856,45.8026,20.1539,0.050123375168385595
83_28,"['82_41', '82_1']",1,0.05089183552311385,41.2114,23.9888,0.021289049562935643
83_37,"['82_0', '82_0']",1,0.047042997673228656,36.6242,27.9444,0.020296969476033103
83_1,"['82_16', '82_0']",1,0.041651370360658226,41.0721,22.5052,0.021972795403963546
81_3,"['80_33', '80_33']",1,0.04000304696993375,17.136,22.9073,0.036705976211268594
83_8,"['9_42', '9_42']",1,0.03391947291728426,70.6147,20.3545,0.008298726724799534
83_57,"['78_11', '82_87']",1,0.0328823780110859,21.6944,27.8502,0.023112398316814522
83_78,"['82_3', '81_83']",1,0.030231616099767357,38.5096,22.7822,0.021436445525011262
83_16,"['77_83', '82_65']",1,0.026991773232237004,45.2791,21.5861,0.018100190705038755
83_84,"['82_45', '82_53']",1,0.026490596375807703,45.5637,22.5253,0.016475189000744763
82_87,"['79_26', '81_89']",2,inf,45.0146,18.3382,0.12298797500119796
83_9,"['81_72', '82_41']",2,inf,51.288,17.2637,0.06665431538599742
83_64,"['82_41', '78_40']",2,inf,23.1209,29.4274,0.027671976746275213
83_80,"['78_40', '81_72']",2,inf,23.5086,56.0998,0.025723486156039383
83_81,"['82_53', '78_40']",2,inf,35.6768,47.2614,0.01928049506860591
83_11,"['82_1', '78_40']",2,0.7164091509693384,24.933,30.693,0.020347594872495777
83_19,"['82_35', '82_35']",2,0.47136966301903416,46.6525,18.1284,0.0904136813454713
83_73,"['82_54', '82_7']",2,0.40034452916601443,45.8918,19.7948,0.11610115805708211
83_58,"['81_3', '82_3']",2,0.33597950793735626,30.327,25.951,0.03389373373962902
83_63,"['81_3', '82_87']",2,0.2731391848333502,39.686,23.8017,0.04872418037672134
83_36,"['82_87', '82_68']",2,0.2710927659916602,39.418,22.8391,0.07634591292723032
83_3,"['81_3', '82_47']",2,0.21558305144252354,37.5092,25.7244,0.04289537759958641
83_26,"['82_53', '9_42']",2,0.18640961594870398,34.0717,28.1242,0.027534980701222605
83_15,"['82_16', '81_72']",2,0.18616953922657886,49.3543,19.4521,0.04751742384973586
83_2,"['82_54', '81_83']",2,0.15513023913587165,41.2048,23.0408,0.029859449613879985
83_56,"['82_0', '81_3']",2,0.1453327889879675,31.8133,29.2929,0.024724772125652963
83_4,"['82_36', '81_72']",2,0.1302335906026444,48.3755,18.1106,0.07207742393575953
83_88,"['82_54', '81_3']",2,0.1270113388433138,31.2183,27.5881,0.02818823949096443
83_23,"['82_59', '82_47']",2,0.11878268318515306,41.8846,29.6372,0.022393080363729827
83_31,"['82_0', '77_83']",2,0.11438386722280205,39.5185,24.3356,0.03658460378616931
83_77,"['78_11', '82_54']",2,0.11261510252164686,37.1071,28.9646,0.026240583403019355
83_20,"['80_69', '82_3']",2,0.10461552151121464,48.2748,24.8589,0.02001801681565159
83_47,"['82_87', '82_35']",2,0.10145997892834441,45.1417,18.2437,0.12025144640718484
83_22,"['82_16', '82_0']",2,0.09808371696534804,42.7004,22.945,0.020263989263552416
