cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ
2_82,"['0_63', '1_81']",1,inf,18.9282,46.1243
3_72,"['2_62', '0_9']",1,inf,46.3265,17.0526
4_89,"['3_87', '3_20']",1,1.1955081907411662,19.722,22.3305
3_58,"['2_82', '1_31']",1,0.46025663085921054,28.1552,21.1594
3_52,"['2_16', '0_65']",1,0.36009543347621964,37.9974,18.0312
3_19,"['2_44', '0_40']",1,0.3376622153534172,42.2398,17.945
3_14,"['2_46', '2_69']",1,0.2718179867207248,33.0565,18.6694
2_46,"['0_93', '0_93']",1,0.19501160718469185,31.0527,20.9728
4_65,"['3_37', '3_14']",1,0.1523676171687363,31.6331,19.1804
4_57,"['1_81', '2_82']",2,inf,20.3773,42.4987
4_80,"['3_53', '3_17']",2,inf,50.5517,17.8865
3_38,"['1_37', '1_37']",2,0.6505137721253877,20.5937,28.2932
4_40,"['2_35', '3_19']",2,0.5529676412896081,31.9562,20.5141
4_56,"['3_72', '2_62']",2,0.5207477950974079,44.2864,18.9885
4_72,"['1_81', '1_81']",2,0.4890087093134091,23.3075,23.6444
4_42,"['3_19', '2_62']",2,0.33145768820861987,37.1671,19.7859
4_52,"['3_26', '3_52']",2,0.20227969898095785,35.7308,20.1679
4_0,"['2_82', '3_58']",2,0.1567238184949014,21.6542,24.1467
3_87,"['2_46', '1_37']",2,0.13745002448283733,21.6134,26.1199
4_26,"['3_7', '3_47']",2,0.12209528338482337,21.3805,27.3064
4_54,"['3_72', '2_44']",3,inf,51.8851,18.6627
4_71,"['3_10', '3_87']",3,inf,22.245,25.7104
4_53,"['3_2', '2_46']",3,1.1429645750129895,32.2972,20.8612
1_81,"['0_44', '0_63']",3,1.027196164565279,23.4161,23.969
4_19,"['3_52', '2_62']",3,0.5748787236678048,42.7388,20.5082
4_75,"['3_83', '2_44']",3,0.5704370596965336,44.5784,19.7298
4_27,"['3_17', '2_44']",4,inf,48.4302,19.7462
4_43,"['3_38', '2_46']",4,inf,22.2841,27.119
4_15,"['3_72', '3_58']",4,0.5984965041292809,38.5919,21.2746
4_51,"['3_72', '2_44']",4,0.5835842572764327,46.225,20.1698
4_60,"['3_72', '2_82']",4,0.5751920262515615,32.4069,23.2357
4_55,"['3_26', '3_19']",4,0.5154975841971159,26.1412,24.4448
4_31,"['2_62', '3_14']",4,0.5102326337453491,23.6516,24.5675
4_79,"['1_81', '2_46']",4,0.34583844270809777,33.5518,22.2937
4_35,"['3_2', '3_72']",4,0.3309910827266566,35.3684,21.521
4_9,"['3_26', '3_17']",5,inf,49.9461,19.9821
4_41,"['2_62', '3_58']",5,inf,22.8073,28.7858
4_85,"['3_87', '3_38']",5,0.6500902876219926,23.9889,25.0237
4_83,"['3_19', '3_26']",5,0.6387660021718108,42.5112,21.4424
4_17,"['3_58', '3_72']",5,0.4642238768759034,39.9518,22.3635
4_34,"['1_81', '2_46']",5,0.4611004083907881,28.4387,24.8894
4_46,"['3_19', '2_82']",5,0.3526840956339679,33.321,23.9916
4_59,"['3_2', '3_37']",5,0.28444400107139356,34.9951,23.0911
4_77,"['3_52', '2_62']",5,0.14481875874661632,33.396,23.3926
