cand_id,parents,rank,distance,CO2 Gross emissions,Total cost of energy
1_47,"['0_1', '0_0']",1,inf,-40.3033,-14.8482
1_84,"['0_0', '0_1']",1,inf,-46.0997,-14.2733
1_74,"['0_1', '0_1']",1,0.02727802904267895,-40.6228,-14.3682
1_75,"['0_1', '0_0']",1,0.018208003895961437,-42.8719,-14.2868
1_88,"['0_1', '0_1']",1,0.013902511959475207,-40.6848,-14.3659
1_12,"['0_0', '0_1']",2,0.115097463469586,-46.6686,-14.2752
1_58,"['0_1', '0_1']",2,0.0626142511413895,-40.6864,-14.3702
1_61,"['0_1', '0_0']",2,0.0477071635287539,-46.2078,-14.2983
1_19,"['0_1', '0_0']",2,0.03184651367096206,-44.8311,-14.3184
1_66,"['0_1', '0_0']",2,0.026013097855555452,-44.5479,-14.3211
1_3,"['0_1', '0_0']",2,0.012810056566042977,-43.9464,-14.3284
1_92,"['0_1', '0_1']",3,0.09751383646533412,-41.5863,-14.7274
1_90,"['0_0', '0_1']",3,0.041679037559891045,-42.0633,-14.662
1_23,"['0_0', '0_1']",3,0.025503950582951657,-44.1103,-14.3336
1_96,"['0_0', '0_1']",3,0.024642861836876685,-43.2735,-14.4245
1_59,"['0_0', '0_0']",3,0.022861901245896557,-42.2811,-14.626
1_93,"['0_0', '0_1']",3,0.012208764730174085,-42.6943,-14.4957
1_10,"['0_0', '0_1']",3,0.00831263625226854,-42.3696,-14.5229
1_45,"['0_1', '0_1']",3,0.0037991774818139437,-41.7089,-14.7094
1_43,"['0_1', '0_1']",3,0.0027924977736925095,-41.6186,-14.7248
1_32,"['0_1', '0_0']",3,0.0022787992770846883,-43.9954,-14.37
1_67,"['0_1', '0_1']",3,0.00143729071901765,-41.6882,-14.7136
1_53,"['0_1', '0_1']",3,0.0006736775649481643,-41.6779,-14.7165
1_81,"['0_1', '0_1']",3,0.0005971149181365627,-41.6752,-14.7187
1_69,"['0_1', '0_1']",3,0.00048060074795736746,-41.6581,-14.7198
1_38,"['0_1', '0_1']",3,0.0004459972672519741,-41.635,-14.7217
1_9,"['0_1', '0_1']",3,0.0004261051573487062,-41.6198,-14.7231
1_95,"['0_1', '0_1']",3,0.00033650417535049227,-41.6513,-14.7212
1_73,"['0_1', '0_1']",3,0.0002883604487748113,-41.6627,-14.7193
1_83,"['0_1', '0_1']",3,0.0002266764763268859,-41.6369,-14.7213
1_63,"['0_1', '0_1']",3,0.00021263431977145325,-41.6532,-14.7199
1_13,"['0_1', '0_0']",4,0.04101719317735502,-43.5336,-14.4829
1_55,"['0_0', '0_1']",4,0.037963432460551554,-44.253,-14.3978
1_86,"['0_0', '0_1']",4,0.028001580082891157,-42.1789,-14.7009
1_30,"['0_1', '0_1']",4,0.022613781557155436,-41.7551,-14.7104
1_24,"['0_0', '0_1']",4,0.01696228993318709,-43.8432,-14.4671
1_34,"['0_0', '0_1']",4,0.013731156248950365,-42.8413,-14.5162
1_15,"['0_1', '0_0']",4,0.012465538833659345,-42.4926,-14.5582
1_22,"['0_1', '0_0']",4,0.010679888071649333,-42.472,-14.5884
1_40,"['0_1', '0_0']",4,0.010210323687446421,-44.8297,-14.373
1_78,"['0_0', '0_0']",4,0.007256647363947506,-42.4398,-14.6166
1_94,"['0_1', '0_1']",4,0.0017393587172252764,-41.7173,-14.7113
0_0,[],4,0.0014717268961614897,-42.3718,-14.6189
1_50,"['0_1', '0_1']",4,0.0010847367443726234,-41.622,-14.724
1_41,"['0_1', '0_1']",4,0.000741211490742948,-41.6398,-14.7237
1_2,"['0_1', '0_1']",4,0.0006862139894501245,-41.6811,-14.7194
