cand_id,parents,rank,distance,CO2 Gross emissions,Total cost of energy
55_74,"['54_47', '54_47']",1,inf,-35.7321,-13.65
27_25,"['26_8', '26_19']",1,inf,-38.5803,-13.0765
43_40,"['22_24', '42_41']",1,0.039490991663877976,-38.4909,-13.1835
56_47,"['53_88', '55_7']",1,0.02969698031707011,-38.5532,-13.09
34_68,"['33_81', '33_26']",1,0.01495768956580748,-38.0953,-13.2321
50_14,"['49_39', '27_25']",1,0.007574473006294952,-36.8004,-13.2443
46_2,"['44_53', '45_66']",1,0.003185577710202915,-35.7421,-13.5323
55_84,"['46_2', '46_2']",1,0.0014006901139944354,-35.7384,-13.5339
53_7,"['50_14', '43_40']",2,0.059817515851260813,-37.0921,-13.2448
56_52,"['55_84', '55_8']",2,0.012327777326510284,-35.7978,-13.609
53_88,"['52_24', '46_2']",2,0.008054564605660126,-36.0804,-13.5933
56_82,"['34_68', '55_7']",3,0.07825140343155976,-39.3444,-13.4706
50_46,"['49_22', '49_39']",3,0.023537518947612107,-35.9935,-13.8601
56_3,"['55_72', '55_83']",3,0.013581905078865055,-38.3726,-13.5363
56_13,"['55_72', '55_74']",3,0.01010438777784938,-36.7289,-13.6119
56_79,"['53_88', '50_46']",3,0.00925335307503303,-36.1677,-13.6316
56_4,"['55_74', '55_55']",3,0.008777263003541029,-37.7128,-13.5581
56_25,"['27_25', '53_7']",3,0.007911240836305965,-38.7307,-13.5314
56_21,"['50_46', '50_14']",3,0.004629241420308872,-36.796,-13.6045
56_69,"['55_72', '46_2']",3,0.0030924838227885153,-36.909,-13.5995
56_31,"['55_74', '55_23']",3,0.0024100522162521787,-36.9729,-13.5987
56_81,"['50_14', '55_74']",3,0.0017850702472711204,-37.6156,-13.5643
56_88,"['22_24', '27_25']",4,0.05745412909196268,-40.2239,-13.487
56_71,"['49_68', '27_25']",4,0.03447731258570436,-41.2544,-13.4722
56_24,"['55_76', '55_83']",4,0.014181137027032428,-36.6052,-13.6702
56_53,"['50_14', '22_24']",4,0.011072975864663284,-39.3676,-13.4874
56_34,"['50_14', '46_2']",4,0.007213314541251094,-38.6187,-13.538
56_87,"['55_74', '49_68']",4,0.006621631120612103,-37.3789,-13.5992
56_50,"['55_74', '55_23']",4,0.006570256835290993,-36.2644,-13.7856
56_46,"['55_84', '55_23']",4,0.004882829956494886,-36.3641,-13.7523
56_56,"['27_25', '55_76']",4,0.0036164419090338497,-36.9414,-13.6058
56_0,"['55_68', '55_11']",4,0.0033256832518147325,-36.3248,-13.7751
56_89,"['55_72', '55_84']",4,0.0032100210411166964,-36.3964,-13.7167
56_48,"['55_61', '55_74']",4,0.0029113689187890983,-37.8601,-13.5732
56_85,"['55_68', '50_14']",4,0.002392175296004176,-37.7189,-13.5739
56_77,"['50_14', '55_84']",4,0.0016779548466318525,-37.6236,-13.5917
56_61,"['55_89', '55_28']",5,0.014766708565225075,-39.5836,-13.4898
56_33,"['55_74', '53_88']",5,0.013344602929077583,-36.2733,-13.8229
56_58,"['50_14', '50_14']",5,0.00656371078916918,-37.7798,-13.5774
56_70,"['34_68', '55_72']",5,0.006102750104070551,-36.9672,-13.7255
56_62,"['53_7', '46_2']",5,0.0058813684087263805,-36.9982,-13.6116
56_32,"['55_83', '53_7']",5,0.005341006577525971,-38.7746,-13.5391
56_14,"['55_68', '46_2']",5,0.004234005305668233,-36.4145,-13.739
56_49,"['55_72', '55_23']",5,0.0038565526863068005,-36.3086,-13.7881
56_7,"['55_72', '53_7']",6,0.0293548671092426,-38.8308,-13.5421
56_36,"['27_25', '53_88']",6,0.019834456136861273,-39.664,-13.4952
56_59,"['22_24', '22_24']",6,0.007764954550696758,-37.8467,-13.6191
56_2,"['50_14', '55_61']",6,0.005047959113545324,-37.1417,-13.6348
56_55,"['55_68', '46_2']",6,0.005041956821735317,-36.4414,-13.7522
56_75,"['53_7', '55_28']",6,0.004967592016250435,-38.1104,-13.5928
56_15,"['55_23', '50_46']",6,0.004727047075302562,-36.364,-13.8917
56_64,"['55_28', '53_88']",6,0.004553188457130955,-37.7707,-13.6296
56_20,"['53_88', '55_74']",6,0.004488028005528431,-36.3691,-13.8123
56_43,"['55_72', '49_68']",6,0.003988456355440926,-37.117,-13.6981
56_86,"['55_68', '55_50']",6,0.0023284514894827135,-36.4347,-13.7759
56_76,"['55_74', '55_68']",6,0.0022116245108602215,-36.4123,-13.7923
56_17,"['50_46', '55_72']",7,0.045745344669079674,-36.3929,-13.9748
56_29,"['43_40', '46_2']",7,0.03307855437409657,-39.8299,-13.5276
56_57,"['49_68', '55_68']",7,0.010809972191068969,-37.2333,-13.6583
56_23,"['55_84', '43_40']",7,0.00924640519657357,-38.0895,-13.6504
56_63,"['55_84', '53_7']",7,0.005725768178596765,-36.4782,-13.7719
56_42,"['53_88', '46_2']",7,0.004159514743876781,-36.4768,-13.8128
56_12,"['55_23', '34_68']",7,0.003426143015694685,-37.1823,-13.7089
56_67,"['53_7', '55_7']",8,0.04590127661033445,-41.0673,-13.566
56_11,"['50_46', '50_14']",8,0.019911296599045464,-36.8997,-13.9575
56_74,"['49_68', '27_25']",8,0.011459048354508143,-37.5194,-13.7093
56_9,"['22_24', '55_72']",8,0.011280242621814034,-42.1283,-13.5614
56_19,"['43_40', '55_55']",8,0.010373690183828433,-37.6242,-13.6719
56_73,"['53_7', '53_88']",8,0.00958885074535686,-37.3715,-13.7387
56_6,"['55_57', '55_76']",8,0.003416232620980491,-37.1383,-13.7799
56_16,"['34_68', '55_61']",8,0.0025642523315140718,-38.0958,-13.6506
56_44,"['50_14', '22_24']",9,0.024979737614887466,-42.3664,-13.563
56_8,"['43_40', '50_46']",9,0.01772401779525533,-38.2012,-13.6971
56_38,"['55_23', '22_24']",9,0.011090345560811347,-42.1946,-13.5874
56_39,"['49_68', '55_57']",9,0.008914913252997932,-37.5992,-13.7715
56_84,"['55_28', '46_2']",9,0.005953643224181508,-37.1522,-13.8695
56_30,"['50_46', '55_76']",9,0.0028056536330179804,-37.1531,-13.794
56_72,"['49_68', '43_40']",10,0.017916422844293622,-42.8498,-13.5689
56_66,"['43_40', '55_74']",10,0.007508695739955842,-37.2097,-13.8827
56_41,"['55_28', '55_83']",10,0.005316165613149255,-38.4916,-13.7053
56_80,"['55_72', '53_7']",10,0.003024303960175423,-37.7445,-13.7721
56_65,"['55_25', '22_24']",11,0.14423767528197376,-47.4076,-13.5948
56_22,"['55_7', '55_74']",11,0.03218545093273053,-41.7694,-13.7191
56_27,"['43_40', '55_74']",11,0.013303642063696088,-37.8859,-13.7994
56_60,"['55_83', '55_84']",11,0.004406918337190267,-37.2317,-13.8952
56_68,"['55_84', '55_84']",12,0.042247982015217365,-42.1907,-16.6478
56_83,"['55_74', '55_72']",12,0.03359761447265687,-41.946,-16.7287
56_28,"['55_8', '55_57']",12,0.022314972823613055,-42.7532,-13.7985
56_51,"['55_72', '55_74']",12,0.012777975455214249,-41.9584,-16.7262
56_37,"['55_89', '49_68']",13,0.06216286088446687,-43.8323,-13.9057
56_1,"['53_7', '55_66']",13,0.039308760488959656,-43.1254,-16.5179
56_54,"['22_24', '27_25']",14,0.05827419898116254,-45.4473,-13.9119
56_45,"['43_40', '27_25']",14,0.03741501600870614,-43.1852,-16.5428
56_35,"['55_89', '43_40']",15,0.6590094909388595,-45.5755,-16.4404
56_5,"['27_25', '43_40']",15,0.6507997608965751,-49.4448,-14.142
56_26,"['46_2', '49_68']",15,0.09555406076165493,-44.5226,-16.5456
56_10,"['55_25', '22_24']",16,0.10748064817872066,-48.864,-16.7086
56_40,"['50_14', '55_89']",17,0.38387973381860097,-50.137,-16.8313
56_78,"['43_40', '55_28']",18,0.46707089996269835,-56.1081,-17.119
56_18,"['46_2', '22_24']",19,inf,-58.7393,-17.2171
