cand_id,parents,rank,distance,CO2 Gross emissions,Total cost of energy
46_49,"['45_5', '6_85']",1,inf,-36.3008,-13.8943
10_56,"['9_66', '9_32']",1,inf,-38.2372,-13.178
31_55,"['30_69', '30_46']",1,0.045615215156617546,-37.9935,-13.2248
37_51,"['36_66', '14_35']",1,0.04194118404881348,-37.2497,-13.3162
13_38,"['11_25', '10_65']",1,0.030325415500803178,-36.5013,-13.7713
41_81,"['37_51', '37_51']",1,0.028152568379881244,-37.3113,-13.2968
24_4,"['15_61', '14_35']",1,0.02245861238194178,-36.6378,-13.5355
6_85,"['5_69', '4_55']",1,0.0198496393879532,-36.3354,-13.8851
14_35,"['12_55', '12_55']",1,0.012648781177984474,-36.8847,-13.4457
34_0,"['33_41', '33_68']",1,0.010591180146571308,-36.7597,-13.4706
32_57,"['31_87', '31_12']",1,0.005089768350412202,-36.3298,-13.8905
46_82,"['45_32', '45_32']",2,0.11977270401014335,-40.3795,-13.4322
46_75,"['45_65', '10_56']",2,0.04940762061633491,-39.1103,-13.4949
46_77,"['45_74', '34_0']",2,0.02260702783043357,-37.6912,-13.6366
46_74,"['45_0', '45_21']",2,0.022225722029582125,-38.7424,-13.5095
46_39,"['37_51', '10_56']",2,0.02156407116180133,-38.2273,-13.5895
46_21,"['31_55', '45_29']",2,0.015289021753709017,-37.7935,-13.6069
46_71,"['45_64', '10_56']",2,0.015090097465320463,-39.4732,-13.4823
46_41,"['37_51', '45_4']",2,0.015036988992628515,-38.3218,-13.5233
46_54,"['32_57', '32_57']",2,0.013352676213015157,-36.7128,-13.9806
46_4,"['13_38', '13_38']",2,0.012068526376385632,-36.9298,-13.8693
46_69,"['45_0', '45_67']",2,0.011238292625689789,-38.8225,-13.502
46_51,"['13_38', '45_77']",2,0.010815524320271972,-36.8004,-13.9537
46_11,"['14_35', '31_55']",2,0.010747211836879768,-39.4905,-13.4613
46_79,"['45_70', '45_0']",2,0.009409763349833556,-38.7905,-13.5028
46_19,"['6_85', '6_85']",2,0.008666984491250765,-36.747,-13.9743
46_55,"['31_55', '24_4']",2,0.007944112512864074,-37.215,-13.7098
46_47,"['45_0', '14_35']",2,0.007478501034086606,-37.2263,-13.6925
46_57,"['45_6', '14_35']",2,0.00747532710754009,-37.0233,-13.7738
46_38,"['24_4', '37_51']",2,0.0074178504566558105,-37.2061,-13.7131
46_46,"['41_81', '45_64']",2,0.007150613684876109,-37.0959,-13.7229
46_13,"['45_64', '45_0']",2,0.006960950621902171,-37.4982,-13.6476
46_0,"['45_0', '45_47']",2,0.005456919878626218,-37.3954,-13.6684
46_73,"['13_38', '14_35']",2,0.0051017984345643605,-36.9859,-13.8308
46_45,"['41_81', '31_55']",2,0.004454185798774363,-37.9049,-13.5943
