cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
66_42,"['61_30', '65_22']",1,inf,47.6788,27.3734,16.291592
57_32,"['53_77', '53_77']",1,inf,46.1958,22.2304,17.566402
65_65,"['36_43', '36_43']",1,inf,40.1348,30.911,19.776536
61_30,"['60_28', '60_60']",1,0.0,47.3394,27.5528,16.291592
64_59,"['62_38', '61_30']",1,0.0,47.2996,27.6178,16.291592
63_11,"['57_54', '57_87']",1,0.0,47.068,27.6626,16.291592
65_38,"['64_88', '57_54']",1,0.0,46.5112,27.7754,16.291592
62_71,"['61_47', '57_3']",1,0.0,44.468,27.8592,16.291592
65_27,"['56_21', '62_71']",1,0.0,44.1616,27.8948,16.291592
56_21,"['45_22', '54_7']",1,0.0,43.8086,28.0546,16.291592
66_66,"['63_11', '65_74']",1,0.0,46.6936,27.404,16.776862
66_3,"['64_59', '65_25']",1,0.0,45.8192,26.7842,16.795792
66_15,"['65_10', '65_85']",1,0.0,45.5588,27.0538,16.800214
66_13,"['65_38', '65_13']",1,0.0,44.6488,27.2046,16.800214
66_26,"['64_59', '65_74']",1,0.0,44.2492,27.2138,16.813703999999998
66_62,"['65_8', '65_38']",1,0.0,44.2026,27.288,16.813703999999998
66_12,"['56_21', '64_17']",1,0.0,43.2628,27.7262,16.817194
66_23,"['65_41', '65_0']",1,0.0,43.3578,27.5424,16.817542
66_64,"['65_0', '56_21']",1,0.0,44.5004,27.1416,16.835702
66_28,"['65_0', '65_24']",1,0.0,43.588499999999996,27.250700000000002,16.835702
66_60,"['65_38', '56_21']",1,0.0,45.0637,27.0416,16.837104
66_32,"['65_25', '65_25']",1,0.0,44.1798,27.1686,16.840937999999998
66_69,"['65_0', '65_70']",1,0.0,42.9612,27.2494,17.037826
66_47,"['65_25', '63_11']",1,0.0,49.0604,26.4988,17.046168
66_73,"['62_71', '65_38']",1,0.0,44.8008,26.8368,17.061231999999997
66_80,"['65_0', '57_32']",1,0.0,47.0176,25.4806,17.09178
66_82,"['65_38', '64_17']",1,0.0,43.9858,26.994,17.09178
66_19,"['57_32', '56_21']",1,0.0,46.4086,24.749699999999997,17.545734
66_27,"['65_13', '57_32']",1,0.0,45.0498,24.9404,17.575756000000002
66_10,"['65_14', '57_32']",1,0.0,43.8478,24.8794,18.498988
65_70,"['62_67', '64_2']",2,0.0,48.5728,27.4098,16.291592
66_71,"['65_70', '64_59']",2,0.0,47.8446,27.4678,16.291592
66_33,"['63_11', '61_30']",2,0.0,46.726,27.8398,16.291592
66_76,"['65_34', '65_34']",2,0.0,45.6302,27.3148,16.800214
66_55,"['64_59', '65_70']",2,0.0,47.96,27.0796,16.813703999999998
66_72,"['65_34', '65_70']",2,0.0,47.8646,27.1764,16.813703999999998
66_31,"['61_30', '61_30']",2,0.0,47.133,27.2166,16.813703999999998
66_43,"['65_10', '65_70']",2,0.0,48.7262,27.029,16.817194
66_58,"['65_13', '62_71']",2,0.0,44.357,27.328,16.819102
66_34,"['64_59', '65_13']",2,0.0,45.795,27.045,16.840594
66_21,"['65_34', '65_8']",2,0.0,44.253,27.6432,16.85906
66_83,"['56_21', '65_58']",2,0.0,43.1336,27.371,17.037826
66_14,"['62_71', '64_17']",2,0.0,43.0802,27.6922,17.037826
66_29,"['65_0', '65_85']",2,0.0,45.417,26.9204,17.09178
66_77,"['65_70', '65_14']",2,0.0,44.3256,27.1018,17.115256000000002
66_41,"['65_85', '65_85']",2,0.0,48.0134,26.8288,17.303098
66_36,"['65_38', '65_34']",2,0.0,46.3474,26.9036,17.545731999999997
66_56,"['57_32', '65_85']",2,0.0,46.883,25.596,17.566402
66_59,"['64_59', '65_22']",3,0.0,47.6978,27.8488,16.291592
66_86,"['64_59', '65_27']",3,0.0,47.2532,27.9494,16.776862
66_30,"['61_30', '65_16']",3,0.0,47.1982,27.3414,16.813703999999998
