cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
78_38,"['76_37', '77_52']",1,inf,22.1744,9.14395,8.243144000000001
80_70,"['78_38', '79_57']",1,inf,21.2821,9.14633,8.243142
81_78,"['79_45', '80_82']",1,inf,14.2833,9.34345,9.5767
82_22,"['81_4', '80_70']",1,inf,16.9572,12.833,8.412498
82_63,"['80_14', '81_60']",1,inf,14.5433,5.95236,8.765405999999999
82_34,"['78_38', '80_76']",1,0.5285388337149617,18.0538,12.3859,8.364118999999999
82_76,"['81_62', '81_62']",1,0.41056492948587575,14.4902,6.83468,9.367013
82_88,"['81_62', '81_63']",1,0.40283396202528293,14.3621,8.39898,9.09689
82_5,"['78_38', '81_85']",1,0.38816224429978446,17.3027,9.85386,8.393379
81_63,"['80_19', '80_25']",1,0.3380589061592083,15.0756,6.55231,8.524199
81_60,"['79_6', '80_14']",1,0.28999660913911685,14.6971,6.07945,8.754627999999999
82_14,"['81_83', '81_4']",1,0.283415627367411,20.1565,8.25475,8.396478
82_45,"['81_73', '81_73']",1,0.2821082169080937,14.4484,6.84495,8.898143
82_31,"['81_71', '81_63']",1,0.26332645129922694,15.9235,6.95374,8.487721
82_89,"['81_60', '81_79']",1,0.22590840764581696,14.5134,8.70847,8.584913
82_54,"['81_85', '80_56']",1,0.21843756129939346,18.2126,7.8646,8.410588
82_78,"['78_38', '80_53']",1,0.21594619065426707,21.7797,8.13516,8.296223
81_83,"['80_70', '80_41']",1,0.21370265168474428,19.1436,8.51777,8.292079
82_11,"['81_78', '81_71']",1,0.19424780205708825,16.6864,7.60795,8.472878999999999
82_26,"['81_83', '81_83']",1,0.1424575308573625,19.3461,8.46336,8.293901000000002
82_13,"['81_25', '81_83']",1,0.13844931434871652,17.9428,9.30814,8.378069
82_17,"['81_35', '81_71']",1,0.12199056703013963,16.7402,9.69336,8.420832
82_57,"['81_80', '81_60']",1,0.10697443313841482,17.337,8.21011,8.461791000000002
81_25,"['80_76', '80_76']",1,0.090071732757141,16.393,9.85193,8.418415999999999
82_28,"['80_14', '81_71']",1,0.08201571761795876,17.2042,8.69477,8.40755
82_20,"['81_85', '80_56']",1,0.08016531042007136,16.8915,9.39186,8.419916
82_9,"['80_53', '81_25']",1,0.07911785868489742,17.3193,9.0272,8.389408999999999
82_39,"['81_25', '81_9']",1,0.07614651384322635,16.2036,8.70803,8.458769
82_48,"['81_35', '81_62']",1,0.054533004303532855,16.0502,8.4746,8.485619999999999
80_14,"['79_65', '79_71']",2,inf,14.5814,6.01644,8.765405999999999
82_4,"['80_14', '80_53']",2,inf,23.8506,9.08691,8.43813
82_43,"['81_73', '81_73']",2,inf,14.3945,9.76986,9.494263
82_55,"['80_70', '81_83']",2,inf,21.2806,9.24315,8.29852
82_73,"['81_25', '80_76']",2,inf,16.5018,9.89102,8.418415999999999
82_77,"['81_9', '81_63']",2,0.7406567815374947,15.6299,7.55642,8.5294
81_62,"['79_6', '79_45']",2,0.7250499538598234,14.4976,6.84343,9.367851
82_37,"['80_53', '81_62']",2,0.6640570935485209,17.9657,8.46703,8.472789
81_73,"['80_67', '80_67']",2,0.6459453906750928,14.4819,6.86484,8.898891
82_33,"['81_62', '80_56']",2,0.36136292297605493,15.5842,9.34076,8.756927
82_42,"['78_38', '80_56']",2,0.28961935275900585,19.2783,9.75094,8.31532
82_6,"['81_9', '81_83']",2,0.25727980970322206,20.3495,9.72572,8.411953
82_61,"['81_25', '80_14']",2,0.18742516100598663,16.4525,8.79971,8.470146999999999
82_15,"['80_70', '81_63']",2,0.18563863156168056,19.7301,9.44893,8.44897
82_85,"['81_4', '80_14']",2,0.16081989497377935,14.5592,9.14231,8.828541000000001
82_59,"['81_25', '81_25']",2,0.1347487722461367,16.4307,9.85257,8.418867
82_53,"['81_41', '80_70']",2,0.12828159602784206,19.6996,9.72346,8.448457999999999
82_23,"['81_78', '79_45']",3,inf,14.572,6.90905,9.278362
82_62,"['80_70', '81_4']",3,inf,17.2172,15.35,8.423667
82_70,"['78_38', '81_6']",3,inf,29.4474,11.0144,8.362407
82_74,"['80_14', '81_60']",3,inf,14.6513,6.22682,8.765405999999999
82_87,"['81_78', '81_78']",3,inf,14.5991,6.89757,9.483343999999999
82_2,"['81_9', '78_38']",3,0.943364860039103,19.9406,10.2644,8.399414000000002
82_18,"['81_79', '81_71']",3,0.431675604912481,17.6758,10.1261,8.437691
82_49,"['79_45', '81_83']",3,0.29766075134904213,16.8436,8.4873,8.708191
82_86,"['81_83', '81_4']",3,0.2971695932961315,16.6559,8.98298,8.544882
82_21,"['80_14', '81_25']",3,0.26983236739062477,16.2166,8.8546,8.685214000000002
82_65,"['81_73', '81_9']",3,0.1949837560305645,16.2716,8.62774,8.571470999999999
82_30,"['78_38', '80_53']",4,inf,22.0142,11.1572,8.403699
82_46,"['81_78', '81_60']",4,inf,14.8665,6.54568,9.776573
82_60,"['81_78', '81_63']",4,inf,14.6133,7.02036,9.445092999999998
82_80,"['81_78', '81_60']",4,inf,14.9432,6.28597,9.364119999999998
82_82,"['80_53', '81_60']",4,inf,17.8307,17.0569,8.449733
82_10,"['80_70', '80_14']",4,0.7934068954293647,20.9321,15.1327,8.434140000000001
82_24,"['81_60', '81_6']",4,0.37811337083428476,16.8593,12.6612,8.550076999999998
82_25,"['81_78', '80_56']",4,0.3421147943522841,19.1062,9.11836,8.745158
82_66,"['81_85', '81_73']",4,0.3412239894983015,15.3254,7.44271,8.957666
82_19,"['81_78', '81_60']",4,0.3357423535169514,14.6685,6.95776,9.159684
82_35,"['81_35', '80_14']",4,0.32351390999333174,15.554,7.07084,8.773121999999999
82_64,"['81_6', '80_53']",4,0.29945081399378765,19.4108,10.8853,8.51068
82_27,"['81_41', '81_9']",4,0.22429150852360108,17.0794,10.0555,8.56804
82_29,"['78_38', '81_4']",4,0.21592142788694552,18.1717,11.8903,8.515104
82_84,"['81_25', '80_56']",4,0.20653156505272358,18.2,10.4011,8.513850999999999
82_68,"['81_9', '81_41']",4,0.20076077607804943,16.7943,9.24985,8.569517
82_44,"['81_63', '81_78']",4,0.19334657770526076,14.8902,9.55152,9.009114
82_51,"['81_35', '81_25']",4,0.18296645283416993,16.3803,9.52389,8.703166
82_58,"['80_67', '81_80']",4,0.16767806955458195,16.3189,9.52349,8.728947000000002
82_52,"['81_83', '81_9']",4,0.10900290214486141,19.2521,10.9474,8.478561
82_0,"['81_25', '81_85']",4,0.08573022361201382,15.3045,10.9046,8.976231
82_16,"['80_14', '81_41']",4,0.05022280210462559,15.3604,7.00823,8.970231
82_38,"['81_78', '81_78']",5,inf,14.7157,7.00591,9.489988
82_50,"['80_70', '80_53']",5,inf,22.3207,11.2132,8.411262000000002
82_69,"['80_14', '81_4']",5,inf,14.9186,17.9137,9.070521000000001
82_40,"['81_80', '81_83']",5,1.1102127740838756,20.928,11.6284,8.483321
82_7,"['81_32', '81_83']",5,0.6922367511294725,19.3633,11.0124,8.526740999999998
82_36,"['81_80', '81_78']",5,0.6298377733338262,17.8162,10.3993,8.708173
82_83,"['81_60', '81_85']",5,0.4146726676765262,16.7754,7.59204,9.18662
82_12,"['80_76', '81_62']",5,0.41432091670226295,15.728,9.61304,8.97078
82_41,"['81_25', '81_35']",5,0.4009375105819363,16.5527,9.29162,8.789936
82_72,"['81_73', '81_73']",5,0.3616428483680336,14.7766,7.22632,9.333306000000002
82_47,"['81_62', '80_53']",5,0.3527426885181859,16.5686,8.129,8.961251
82_1,"['81_73', '78_38']",5,0.2421202372070493,17.2402,9.32866,8.766623999999998
82_3,"['81_35', '81_6']",6,inf,19.475,11.0891,8.532743
82_8,"['81_63', '81_78']",6,inf,14.8099,7.16008,9.571057
82_56,"['81_35', '81_60']",6,3.0,16.5838,9.80223,8.818948
82_32,"['81_25', '81_54']",7,inf,16.8035,18.4625,9.042029
82_71,"['80_14', '81_73']",7,inf,15.0365,7.42238,9.624257
82_79,"['81_83', '80_19']",7,inf,19.85,12.3342,8.556759
82_81,"['80_70', '79_45']",7,1.4602252770604958,18.4692,13.0098,9.020913000000002
82_75,"['81_78', '80_56']",7,0.9975717741707744,16.9361,9.89237,9.360589000000001
82_67,"['81_71', '81_62']",7,0.8380953223759581,17.6813,10.908,9.091056
