cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
88_89,"['87_17', '85_14']",1,inf,27.9065,11.9558,8.351961000000001
89_6,"['88_56', '88_65']",1,inf,34.5454,9.71655,8.532301
86_64,"['69_50', '69_50']",1,inf,16.5064,11.1975,9.016561
86_69,"['85_68', '85_68']",1,inf,27.7313,9.15657,9.110364
87_74,"['86_59', '86_15']",1,0.16562389683703058,30.143,9.32008,9.00302
89_84,"['87_2', '88_23']",1,0.1186857511114887,20.7202,16.2958,8.518074000000002
89_17,"['87_2', '88_76']",1,0.10244744056286773,24.7352,11.2895,8.49534
89_68,"['86_64', '88_56']",1,0.09392474593171728,18.8073,10.1194,9.051869
89_76,"['88_29', '86_64']",1,0.08057797412162719,17.1475,11.0754,8.875341
89_43,"['88_89', '88_23']",1,0.07227369166152404,22.7968,12.5054,8.382365
89_14,"['88_3', '88_48']",1,0.06644095769381589,25.8503,10.5318,8.634923999999998
89_23,"['88_22', '88_89']",1,0.06011822632785685,21.7532,12.8697,8.457222
89_30,"['87_17', '88_66']",1,0.05739733700134218,26.8082,12.1038,8.364198
89_73,"['87_36', '88_3']",1,0.05399451532727275,26.8181,10.2469,8.798930000000002
89_34,"['87_48', '88_48']",1,0.053490019061023075,18.1557,10.98,8.72642
89_72,"['87_36', '87_74']",1,0.052591464851900166,22.947,10.4188,8.970232999999999
89_55,"['88_29', '87_36']",1,0.050405635967970194,18.5242,10.9516,8.671316999999998
88_75,"['87_2', '87_77']",1,0.049352084292225464,28.7685,10.5604,8.543527000000001
89_28,"['88_66', '88_65']",1,0.04539610996759176,23.1832,12.0367,8.441883
89_63,"['88_23', '88_22']",1,0.04491152948055738,22.3995,12.6189,8.466349000000001
89_52,"['87_17', '88_76']",1,0.044665589111301356,23.7994,11.8051,8.428051000000002
87_36,"['86_49', '86_3']",1,0.0430787721873991,17.4407,10.8307,9.063384
89_69,"['88_62', '88_9']",1,0.039971497115495386,23.8496,11.5952,8.479989
89_44,"['88_9', '88_89']",1,0.03965170413157679,29.5608,11.5626,8.419303000000001
87_73,"['86_75', '85_58']",1,0.03741318093126393,27.678,9.80574,8.625093
89_75,"['88_89', '87_17']",1,0.036759184203342336,27.5461,12.1806,8.351961000000001
89_31,"['87_36', '88_30']",1,0.03236959732845163,22.0833,10.6842,8.745545
89_48,"['88_9', '88_75']",1,0.031233482439311296,27.3119,10.6417,8.550807
89_59,"['88_56', '88_9']",1,0.029457441458581965,27.5888,10.3132,8.598773
89_78,"['88_29', '88_29']",1,0.027331794305608798,17.8521,10.8511,8.797336
89_7,"['88_65', '87_48']",1,0.02675416207938592,19.3003,11.3808,8.595966
89_89,"['88_75', '88_29']",1,0.02668271621054548,21.9567,11.3264,8.537174000000002
89_36,"['87_73', '88_89']",1,0.025660574056230873,27.8748,10.8413,8.510068
89_46,"['88_9', '87_73']",1,0.02402759999820262,23.0021,12.1283,8.435493
89_21,"['88_29', '88_56']",1,0.022403118669027004,19.3478,10.6027,8.87459
89_64,"['87_48', '88_48']",1,0.02154280931191147,19.1446,12.4366,8.650111
88_29,"['87_48', '87_2']",1,0.018606469711272704,17.7666,10.903,8.797336
89_80,"['87_36', '87_48']",1,0.01723046389714342,19.1699,10.6504,9.003081
89_41,"['88_30', '88_76']",1,0.015095227911802685,23.9624,10.9661,8.555943
89_29,"['88_30', '88_22']",1,0.01376976792673451,21.1702,10.8647,8.724566
89_83,"['88_56', '87_36']",1,0.01338475313506586,24.1144,10.8534,8.557953999999999
89_11,"['88_76', '88_9']",1,0.012055014606887465,20.7637,10.8725,8.601151
89_87,"['88_66', '87_36']",2,0.11246741454069711,19.6963,13.4645,8.610840999999999
89_27,"['87_74', '88_75']",2,0.1075718578915361,23.3699,10.7461,8.951522
89_85,"['88_60', '88_62']",2,0.0771446903648938,20.0767,10.8631,8.894962000000001
89_1,"['86_64', '86_64']",2,0.07127336353047695,16.5085,11.2958,9.028528
