cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy
89_3,"['85_36', '88_5']",1,inf,14.394,5.50405
90_19,"['89_77', '86_71']",1,inf,13.0228,7.33927
90_73,"['86_71', '88_66']",1,0.16898520753310062,13.2773,7.01581
89_63,"['87_14', '87_14']",1,0.03009252289922388,14.3226,5.50937
89_68,"['86_71', '88_82']",1,0.01883707443361806,13.1331,7.18871
89_51,"['88_85', '88_33']",1,0.015166745651693814,13.1595,7.09845
90_18,"['89_68', '89_68']",1,0.013764778866681912,13.0427,7.30607
89_25,"['88_8', '88_51']",1,0.010970085133432542,13.0813,7.22174
90_24,"['89_0', '89_68']",1,0.004707404729782349,13.1915,7.02559
90_87,"['89_51', '87_5']",1,0.001809467515977606,13.1912,7.06223
87_14,"['86_56', '85_42']",2,0.05010560988114338,14.3769,5.55484
90_70,"['86_71', '86_71']",2,0.019621591580024918,13.0666,7.31052
90_9,"['88_82', '89_25']",2,0.01660896465087044,13.0914,7.24459
90_28,"['86_71', '89_44']",2,0.014648130969081874,13.3457,7.01801
86_71,"['85_29', '85_29']",2,0.013561180494737809,13.0439,7.31364
90_45,"['89_39', '89_0']",2,0.008261528132440065,13.2357,7.05405
90_64,"['88_66', '89_44']",2,0.008093433422395999,13.0872,7.29148
90_50,"['89_12', '89_86']",2,0.007614657421173476,13.2078,7.07542
89_86,"['88_57', '88_33']",2,0.007094977359957034,13.2488,7.04678
90_15,"['89_51', '86_71']",2,0.0047115114030060155,13.2018,7.09459
89_44,"['88_82', '88_57']",2,0.00450441504391013,13.2804,7.02205
90_3,"['89_12', '89_44']",2,0.002957277075676425,13.1918,7.09851
90_51,"['88_73', '88_66']",2,0.0006754568873294351,13.1914,7.12233
90_53,"['89_68', '89_63']",3,0.11238704962289772,14.6277,5.61879
90_48,"['88_5', '87_14']",3,0.0808035014242698,14.4337,5.72397
90_36,"['89_64', '89_39']",3,0.021244794394797838,13.322,7.06025
90_2,"['89_12', '89_44']",3,0.016407837063836736,13.1585,7.28871
90_20,"['88_51', '89_70']",3,0.009144955163738559,13.101,7.3712
90_34,"['89_39', '89_39']",3,0.008697236123490687,13.2266,7.10119
90_23,"['89_39', '89_78']",3,0.005583230660273402,13.1975,7.12516
89_39,"['88_26', '88_33']",3,0.005299879996651232,13.2393,7.07179
90_5,"['87_5', '89_25']",3,0.005120685486733658,13.1025,7.32096
90_44,"['89_51', '86_71']",3,0.002312268463249054,13.2385,7.07302
90_89,"['85_36', '87_5']",4,0.1330474180012023,14.7215,5.74272
90_80,"['85_36', '87_5']",4,0.042796654716877165,14.7631,5.722
90_12,"['87_5', '88_51']",4,0.017374401268704626,13.1086,7.33202
90_29,"['89_12', '88_66']",4,0.009305409172783987,13.2195,7.13554
90_35,"['89_86', '88_66']",4,0.005394153010713696,13.3817,7.07237
90_4,"['89_51', '89_63']",4,0.004938906374731433,13.6502,7.06295
90_41,"['89_12', '86_71']",4,0.00465471939068476,13.2514,7.07947
90_85,"['89_25', '88_33']",4,0.004246609261732348,13.3868,7.06738
90_61,"['89_63', '88_51']",5,0.018748389139897487,13.1887,7.38703
90_1,"['88_51', '87_14']",5,0.018504001237049192,13.1434,7.45664
90_16,"['89_44', '88_5']",5,0.011224544921998671,14.7699,5.73825
90_54,"['89_68', '89_39']",5,0.01103405973039244,13.2475,7.14947
90_62,"['87_14', '89_51']",5,0.00897495946657977,13.2204,7.17062
90_52,"['89_0', '89_68']",5,0.007207383612646434,13.2647,7.08919
90_81,"['88_66', '89_51']",5,0.004500765775132338,13.2558,7.10539
90_40,"['88_51', '86_71']",5,0.0038465201735844185,13.4498,7.08222
90_46,"['87_14', '89_68']",6,0.3094968273270775,14.7791,6.10551
90_68,"['89_68', '89_54']",6,0.013129274477917337,13.3697,7.09381
90_13,"['89_68', '89_0']",6,0.011190067750425902,13.284,7.09611
90_21,"['89_41', '88_73']",6,0.010928422529567404,13.4624,7.08585
90_10,"['87_5', '86_71']",6,0.00719065791606792,13.2753,7.11758
90_55,"['87_14', '88_51']",6,0.005455201554058984,13.2063,7.42617
90_17,"['89_39', '89_77']",6,0.004183127397927228,13.2635,7.11956
90_37,"['89_51', '89_44']",6,0.0030426927285116343,13.2579,7.12324
90_83,"['87_5', '88_66']",7,0.01902197119296622,13.3052,7.09862
90_43,"['85_36', '89_44']",7,0.005052983132528724,13.2578,7.44667
90_72,"['89_3', '89_77']",8,0.015557289492160373,13.2837,7.48019
90_63,"['88_33', '88_66']",8,0.011810861958815545,13.3497,7.12808
90_86,"['89_39', '89_77']",8,0.007538820920902735,13.3871,7.10875
90_26,"['88_33', '88_33']",8,0.0048300362855569325,13.3762,7.11383
90_49,"['89_29', '89_51']",8,0.0009463772736733308,13.3751,7.12246
90_47,"['89_77', '89_63']",9,0.02608201540073318,13.3991,7.43456
90_0,"['89_64', '89_44']",9,0.02122430561226381,13.5507,7.1239
90_38,"['89_63', '88_73']",9,0.02010500587590296,13.4357,7.18486
90_57,"['89_63', '89_70']",9,0.017024523887089298,13.3746,7.58396
90_14,"['87_14', '86_71']",9,0.0062877678806485425,13.4452,7.12777
90_30,"['89_63', '89_44']",9,0.005549208757406035,13.438,7.13215
90_88,"['86_71', '89_78']",10,0.027415558040205373,13.525,7.12835
90_31,"['87_14', '87_5']",10,0.007090303024679192,13.4507,7.1825
90_39,"['89_3', '89_25']",11,0.0685337824489704,13.791,7.13052
90_69,"['89_29', '89_54']",11,0.04265167441547154,13.4705,7.61115
90_76,"['89_64', '88_5']",11,0.014701805334057193,13.5258,7.17968
90_84,"['89_3', '89_0']",12,0.02748417093182063,13.6574,7.19508
90_58,"['89_3', '89_77']",12,0.020262265172961716,13.5686,7.36658
90_74,"['88_66', '89_3']",12,0.018643130855050375,13.6018,7.22553
