cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
46_74,"['38_32', '45_87']",1,inf,24.4848,14.0509,8.566314
31_78,"['28_60', '30_70']",1,inf,13.0424,14.5171,8.991356999999999
46_14,"['39_30', '45_3']",1,inf,28.466,10.1553,9.128784999999997
45_45,"['42_30', '31_78']",1,0.22906594121671522,13.3282,16.9553,8.722564000000002
45_87,"['38_32', '44_19']",1,0.1611255015183337,19.6995,13.6069,8.59992
44_41,"['31_78', '43_58']",1,0.15258642051915355,15.1577,13.9489,8.696943
46_53,"['45_29', '38_32']",1,0.13327958544707014,17.8419,12.8836,8.777455999999999
45_44,"['42_30', '44_47']",1,0.11257080505440087,16.1734,14.1897,8.613966999999999
46_38,"['45_50', '42_82']",1,0.09147568441399984,27.7907,10.2581,9.327456000000002
39_30,"['37_71', '38_57']",1,0.09098744534348262,18.6773,11.4407,9.429689999999999
42_30,"['41_16', '41_6']",1,0.08028449744962476,15.7083,15.6947,8.581191
46_89,"['45_36', '45_65']",1,0.07672244453928007,18.4855,12.7386,9.086275
46_50,"['45_3', '45_50']",1,0.07503203950241308,22.8245,11.5093,9.056559
46_76,"['38_32', '38_32']",1,0.06344972210297965,18.6572,14.7479,8.57457
46_13,"['45_13', '45_4']",1,0.060813908035479466,27.6076,11.8384,8.780859000000001
46_34,"['42_30', '44_47']",1,0.05016029964998868,22.5509,13.3618,8.667338999999998
46_20,"['45_13', '45_3']",1,0.04808559733100859,25.2658,10.997,8.844797
46_45,"['45_4', '42_82']",1,0.046296142452361876,26.8783,10.5861,9.073532
46_6,"['45_69', '45_4']",1,0.034030378078341854,24.3735,12.0564,8.854336
46_43,"['45_2', '38_32']",1,0.03356066333223417,16.1663,14.5352,8.581266000000001
46_15,"['45_87', '42_30']",1,0.028978352128020572,23.097,13.3909,8.605334000000001
46_86,"['45_87', '38_32']",1,0.02220127228113852,23.6062,14.2765,8.588081
46_71,"['44_47', '44_47']",1,0.02045391526900276,23.7502,12.59,8.691048
46_24,"['45_13', '45_2']",1,0.017658005814339614,24.9729,12.2946,8.773882000000002
46_40,"['45_87', '45_16']",1,0.013215685199398673,22.569,12.546,8.763573999999998
45_2,"['38_32', '42_30']",1,0.005469975941738068,22.2465,23.0932,8.571824000000001
46_58,"['45_87', '45_45']",2,inf,18.1342,24.1713,8.662949
46_63,"['45_39', '45_50']",2,inf,29.883,10.2106,9.129604
45_50,"['42_82', '42_60']",2,0.1718337075793836,29.5267,10.2492,9.267942999999999
46_54,"['39_30', '45_50']",2,0.11131183777890348,27.5039,10.6937,9.374786
46_12,"['45_13', '45_4']",2,0.08663220467090565,26.5227,11.0733,8.878589999999999
46_22,"['45_13', '31_78']",2,0.08467785814680018,23.5936,12.7679,9.190795
46_57,"['45_45', '42_82']",2,0.07245826433119579,23.9998,12.6748,9.404366999999999
46_44,"['45_2', '41_67']",2,0.0631212845893103,22.8086,18.3141,8.633862
46_73,"['45_69', '31_78']",2,0.056220863335282936,22.9626,13.5204,8.946805000000001
46_69,"['45_87', '42_30']",2,0.05239626516246068,21.8025,20.8257,8.581581
46_17,"['45_36', '42_82']",2,0.049888091491338174,28.0364,10.327,9.329199
46_7,"['45_4', '45_65']",2,0.043970669790782665,26.0824,12.3513,8.792193000000001
46_85,"['39_30', '31_78']",2,0.04350149351865252,23.2294,12.8333,9.203457000000002
46_80,"['39_30', '31_78']",2,0.03943641545797649,25.9101,12.2009,9.209852
46_79,"['45_2', '45_54']",2,0.03798898749654292,24.1443,13.6475,8.681829
46_51,"['31_78', '39_30']",2,0.03437995365592414,24.3452,13.1368,9.060160999999999
46_75,"['45_13', '31_78']",2,0.03082009941518841,25.406,12.5613,8.810449
46_19,"['45_44', '41_67']",2,0.028684223495328433,21.7578,15.303,8.657985
46_5,"['45_39', '45_2']",2,0.028546025339160726,25.1089,12.5323,8.859753999999999
46_10,"['45_45', '38_32']",2,0.02606388735245626,22.2354,14.2433,8.649287
46_62,"['44_47', '45_87']",2,0.02114214253664525,24.3781,12.9729,8.701592000000002
46_21,"['44_47', '45_2']",2,0.021016037103847716,22.5613,14.595,8.644424
46_3,"['42_30', '31_78']",2,0.020724022734092917,22.0245,14.3356,8.694973999999998
46_42,"['44_41', '42_30']",2,0.018763535460564564,22.107,13.9619,8.700143
46_61,"['45_65', '39_22']",2,0.018232132688083824,18.5582,14.4425,8.694978
46_49,"['31_78', '45_66']",2,0.017773978753918576,21.2903,14.3648,8.719466999999998
46_28,"['45_87', '38_32']",2,0.017151218452312614,24.9239,14.2637,8.582412
46_9,"['45_44', '45_44']",2,0.016712347189822722,23.9233,13.8454,8.610909
46_64,"['39_22', '39_22']",2,0.01657304686225288,22.2652,14.165,8.684613
46_36,"['38_32', '45_50']",2,0.014971042277751177,29.8291,12.2478,8.851139
