cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy
97_26,"['96_6', '95_65']",1,inf,13.2711,4.23803
93_40,"['92_58', '92_1']",1,inf,12.4248,7.09717
98_43,"['97_44', '95_32']",1,0.09810597052335693,13.1311,4.47222
97_19,"['94_18', '94_75']",1,0.03207822997669561,12.443,7.0044
98_78,"['97_84', '97_84']",1,0.02128258553374667,12.483,6.94958
97_73,"['95_65', '96_36']",1,0.009470127735094506,13.1782,4.26043
95_65,"['94_78', '94_25']",1,0.008048426442901947,13.1887,4.25182
98_63,"['94_40', '94_40']",1,0.007569246616027717,13.1408,4.43258
98_17,"['96_25', '96_25']",1,0.007373152956671883,12.4287,7.06486
98_48,"['94_40', '95_32']",1,0.007109256694734725,13.1479,4.39687
98_31,"['93_40', '93_40']",1,0.006564996160996752,12.4381,7.04283
98_56,"['97_28', '95_32']",1,0.0050746598348050806,13.1495,4.39491
96_25,"['93_40', '93_40']",1,0.004819537089979838,12.4329,7.06466
98_84,"['96_54', '97_44']",1,0.002426825277464797,13.1656,4.29899
97_5,"['96_3', '96_76']",1,0.001967484284952286,13.1502,4.37301
98_26,"['97_80', '97_5']",1,0.0017253765278469168,13.1524,4.31532
97_84,"['94_7', '96_11']",2,0.017827530801269535,12.4861,6.95536
98_69,"['95_32', '97_80']",2,0.010636582985992479,13.209,4.27978
94_40,"['91_6', '93_74']",2,0.007835497768404141,13.1325,4.51458
98_70,"['97_73', '96_54']",2,0.007819922396127603,13.1598,4.36924
98_25,"['97_46', '94_40']",2,0.005978377161638515,13.171,4.3128
98_27,"['96_25', '93_40']",2,0.004865772905060706,12.4341,7.10527
98_33,"['97_5', '97_5']",2,0.00427505195477957,13.1514,4.3751
98_51,"['95_65', '97_26']",2,0.004266828945584642,13.2322,4.25952
98_87,"['97_26', '96_76']",2,0.004234826662265874,13.1852,4.28176
98_13,"['95_32', '95_65']",2,0.003933059998257292,13.1626,4.31837
98_16,"['95_65', '95_32']",2,0.0034643787575016666,13.1676,4.31597
95_32,"['93_74', '94_8']",2,0.0026826189425458234,13.1416,4.44521
98_8,"['95_65', '97_5']",2,0.0009322665880082822,13.1633,4.3181
98_1,"['95_32', '94_40']",3,0.02358929878067936,13.1358,4.53771
98_2,"['97_84', '97_84']",3,0.020289425271571498,12.5009,6.97561
98_45,"['96_54', '94_40']",3,0.008537130020659606,13.153,4.44899
98_68,"['97_71', '95_32']",3,0.007821852959250187,13.1595,4.40436
98_12,"['97_44', '97_44']",3,0.007661293918872771,13.1836,4.32605
98_32,"['97_5', '97_44']",3,0.0072083495615556875,13.1754,4.33296
98_37,"['97_46', '97_26']",3,0.005174078608079231,13.2082,4.28966
98_57,"['96_25', '97_0']",3,0.0037841769892187267,12.4361,7.12192
98_3,"['95_65', '96_54']",3,0.0036578738176083134,13.1871,4.29507
98_42,"['97_5', '95_32']",3,0.002782930353410239,13.151,4.5107
98_44,"['97_1', '94_40']",3,0.0012490801078521335,13.1656,4.37445
98_23,"['97_80', '97_26']",4,0.24587700692973596,13.1419,6.88118
98_29,"['97_0', '97_0']",4,0.03489915402864676,12.4735,7.13495
