cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
11_6,"['10_41', '10_58']",1,inf,31.2128,24.9408,9.147894999999998
5_89,"['4_83', '4_73']",1,inf,42.5587,10.2692,9.862345999999999
12_40,"['10_35', '10_35']",1,inf,17.9075,15.0576,10.062206999999999
12_31,"['11_63', '11_17']",1,0.14119432040713692,21.5735,19.7662,9.789992000000002
11_38,"['10_69', '5_89']",1,0.13685455702256838,24.8932,13.0452,9.646096
12_3,"['10_16', '11_22']",1,0.12343778522408676,48.5781,11.1976,9.859769000000002
11_63,"['10_35', '10_53']",1,0.11846082771626568,19.7166,12.8679,9.914565
12_4,"['10_58', '11_6']",1,0.10716647484753022,29.5989,21.0536,9.231264000000001
12_80,"['9_23', '11_46']",1,0.09405132893130924,25.5744,18.611,9.364816999999999
10_35,"['9_31', '6_33']",1,0.09123796003312462,18.052,15.0756,10.003627
12_68,"['11_7', '10_58']",1,0.0622335488884747,24.3154,20.0419,9.282048
12_54,"['10_37', '11_7']",1,0.06221152215767638,34.4589,14.1925,9.318802
12_82,"['11_54', '11_81']",1,0.05629749831521795,37.664,12.5319,9.924167
10_41,"['5_72', '5_72']",1,0.05571165373485624,24.5307,14.9477,9.591885
8_47,"['6_1', '7_20']",1,0.051681857490372685,23.0409,16.4243,9.499929999999999
12_69,"['10_37', '11_28']",1,0.05075023102905328,22.3806,16.24,9.725812000000001
10_37,"['7_25', '9_23']",1,0.046093745379283936,34.7294,13.8689,9.252286000000002
11_7,"['10_37', '10_37']",1,0.04354664216663792,33.7472,14.2651,9.332517
12_18,"['11_63', '11_54']",1,0.028472716222238806,42.3745,12.7691,9.899562000000001
12_2,"['10_58', '8_47']",1,0.02555922489050623,23.0153,16.1182,9.516696
12_6,"['11_75', '5_89']",1,0.02197286773992836,22.0331,16.4364,9.88202
12_29,"['8_50', '5_89']",2,inf,52.2702,12.1097,9.864627
12_22,"['11_15', '10_37']",2,0.11014916446101822,30.4076,23.9875,9.460113000000002
12_79,"['10_41', '11_6']",2,0.1071654791898588,38.7711,22.0726,9.348176
12_15,"['10_37', '9_23']",2,0.08002133715159646,35.4938,16.0348,9.449186999999998
10_58,"['8_36', '9_85']",2,0.0662154060941473,23.161,16.2702,9.523859
12_44,"['5_89', '9_23']",2,0.06406157605035427,51.4324,12.7336,9.929583000000001
12_55,"['10_35', '11_81']",2,0.05734104468299872,25.9721,15.5812,9.803816
12_23,"['10_35', '9_23']",2,0.05228061402320257,27.4429,15.1335,9.851288
12_72,"['11_58', '10_35']",2,0.05135079918600351,28.45,14.4334,9.975885
12_34,"['10_41', '8_47']",2,0.04035620569153828,52.0416,20.7929,9.281528
12_62,"['11_15', '10_16']",2,0.038844419563138013,33.0425,14.1747,9.779097
12_45,"['8_47', '11_54']",2,0.03815529939162275,40.3197,13.5604,9.890877
12_5,"['11_7', '11_58']",2,0.03160787066760483,29.1671,13.502,9.911128999999999
12_65,"['11_2', '9_23']",2,0.02816856117123784,22.6265,15.9872,9.938284
12_47,"['11_78', '11_81']",2,0.024542723177452565,28.9848,14.9968,9.865157
12_8,"['11_46', '11_2']",2,0.023773769825760144,22.9646,17.5636,9.859214000000001
12_26,"['10_16', '11_17']",2,0.01678763945034364,34.8049,13.7119,9.890877
12_75,"['11_47', '11_75']",2,0.014863658964485426,22.1111,15.0399,9.945592999999999
12_83,"['11_63', '11_6']",2,0.013439234659044614,29.0608,13.8898,9.923306
12_64,"['11_2', '10_37']",2,0.009430582811234094,23.126,16.2484,9.873248
12_46,"['10_35', '9_23']",3,0.1814738463979689,22.3061,28.5332,10.383016000000001
12_74,"['11_15', '11_6']",3,0.1291896768642686,24.1717,21.3364,9.708884999999999
12_14,"['11_6', '10_37']",3,0.10048386174326866,34.7673,18.884,9.584787
12_25,"['11_47', '11_46']",3,0.07784795502959252,26.7211,18.0008,9.938678
12_58,"['11_63', '10_37']",3,0.0479295431324351,31.6031,14.789,9.916165000000001
12_0,"['10_16', '11_28']",3,0.04663335096256478,32.3165,14.4035,9.953876
12_35,"['9_23', '11_38']",3,0.04468397999307456,28.0437,16.0971,9.827437
12_87,"['11_61', '9_23']",3,0.042513472294000425,23.4659,15.2029,9.96244
12_78,"['11_63', '11_78']",3,0.03268332138981605,33.9586,14.6751,9.876633
12_49,"['10_37', '11_64']",3,0.028149535501392098,32.7185,16.4546,9.591245
12_77,"['10_41', '11_75']",3,0.02792359552104161,24.4058,17.0567,9.939008999999997
12_28,"['10_35', '11_81']",3,0.026785446839733024,41.9915,14.9645,9.843410000000002
12_38,"['11_75', '10_58']",3,0.026471546363816822,37.1194,14.0637,9.960576999999999
12_57,"['9_23', '10_16']",3,0.024532399404253228,48.0898,14.5876,9.864627
12_33,"['10_37', '11_75']",3,0.024264919246728,33.4355,15.0669,9.88483
12_71,"['11_46', '11_22']",3,0.021175558296157092,44.4095,13.855,9.909339
12_27,"['10_35', '11_15']",3,0.01682437950101006,37.1843,13.8808,9.890964
12_24,"['11_81', '11_6']",3,0.015586227806851587,22.9878,18.709,9.961408000000002
12_88,"['11_54', '11_75']",3,0.005818119847692546,37.1463,15.0243,9.859769000000002
12_21,"['11_28', '10_37']",4,0.06878200636866515,29.1189,23.048,9.758061000000001
12_19,"['11_64', '10_58']",4,0.06450191746829426,36.1415,22.6102,9.821424
12_56,"['8_50', '11_54']",4,0.04859131079937685,41.8363,15.1047,9.878025000000001
12_20,"['11_75', '9_23']",4,0.0453344028047358,31.1562,17.5928,9.922591
12_53,"['10_35', '10_58']",4,0.0412400640952452,39.7373,14.4714,9.914765
12_81,"['11_22', '11_38']",4,0.038831299168574425,36.7688,15.7135,9.891921
12_41,"['11_63', '10_37']",4,0.037997617486016926,26.3656,17.3675,9.962261
12_59,"['5_89', '10_41']",4,0.0336803600622794,43.4234,14.5994,9.902302
12_73,"['11_75', '11_6']",4,0.03117841565139671,42.7437,17.106,9.839044000000001
12_61,"['10_35', '9_23']",4,0.029852368076810777,43.0641,14.127,9.902419
12_32,"['10_16', '11_47']",4,0.02716853481859765,25.4981,20.5569,9.955448999999998
12_43,"['5_89', '9_23']",4,0.022742590089311943,37.9359,14.9158,9.947025
12_85,"['11_46', '11_22']",4,0.022359670462675077,37.9779,15.325,9.934707
12_76,"['10_35', '8_50']",4,0.022041153896693373,29.2581,20.951,9.870045000000001
12_13,"['11_17', '11_63']",4,0.01786830589494727,25.3063,29.5619,9.908968000000002
12_89,"['11_38', '11_7']",4,0.015574075503494655,33.1607,17.425,9.939437
12_12,"['11_2', '5_89']",4,0.013522470084076307,34.7665,15.4686,9.899562000000001
12_48,"['5_89', '10_35']",4,0.012866725221875801,38.3568,15.1564,9.899646
12_10,"['9_23', '11_28']",4,0.009908373802349848,24.2518,17.0944,9.970747
12_52,"['11_38', '10_16']",5,inf,29.7708,30.898,9.838883999999998
12_7,"['10_16', '11_64']",5,inf,35.1759,16.4767,10.548338000000001
12_36,"['11_31', '11_1']",5,0.2457132919514253,29.2917,17.4442,10.076837999999999
12_50,"['8_47', '10_37']",5,0.10092223677411519,47.3713,14.5878,9.920566
12_39,"['10_16', '11_58']",5,0.0996165333324955,44.6392,15.8628,9.922163999999999
12_17,"['11_28', '11_81']",5,0.07281230943323207,29.1584,18.5413,10.052285
12_42,"['10_16', '9_23']",5,0.05986969379881223,49.252,14.2519,9.939595999999998
12_16,"['11_22', '9_23']",5,0.04050084217056383,44.2261,16.6317,9.908871999999999
12_84,"['11_47', '11_7']",5,0.030729026699760294,34.8937,22.7689,9.899562000000001
12_30,"['10_58', '11_22']",5,0.021564987190345247,35.3189,16.4943,9.969161999999999
12_67,"['11_22', '11_75']",5,0.017709736659869905,35.6121,16.0582,9.922314
12_70,"['10_16', '11_28']",5,0.011807636653277097,38.1713,17.0869,9.908968000000002
12_51,"['10_35', '11_46']",5,0.00466611010462765,34.8513,17.0797,9.969161999999999
12_60,"['11_64', '11_22']",6,0.06657372842138487,40.5504,20.4085,9.923530000000001
12_11,"['11_6', '11_38']",6,0.06103290907393692,35.9881,23.3443,9.902302
12_63,"['8_47', '11_22']",6,0.046970269853830786,39.1987,16.2654,9.999697000000001
12_9,"['5_89', '11_64']",6,0.028255340321541297,36.4651,20.4921,10.000806999999998
12_66,"['5_89', '11_81']",6,0.028237769076613004,47.942,14.6124,9.934602
12_1,"['11_81', '11_7']",6,0.013765007494677904,38.4306,17.0673,9.961033
12_37,"['10_35', '10_16']",7,0.2387384749743912,50.3634,25.9801,9.922094999999999
12_86,"['5_89', '11_81']",7,0.07343907075009126,44.1153,24.0374,9.929385
