cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
0_72,[],1,inf,41.125,16.5286,8.811318
0_20,[],1,inf,40.184,13.1719,9.930236
0_76,[],1,inf,21.2494,16.7019,9.930236
0_78,[],1,0.40277496198000334,28.2752,16.2611,9.586084999999999
0_19,[],1,0.3186529394936759,38.4994,16.2325,9.168851
0_58,[],1,0.06936520044695213,35.1934,14.2435,10.006639
0_25,[],1,0.045820791884464605,25.8134,15.523,9.942087
0_13,[],1,0.03836071227682253,24.5259,15.2713,9.969257
0_35,[],1,0.03648022188667435,32.0289,14.8633,9.942719
0_32,[],1,0.031783566352878004,35.2469,14.5845,9.930123
0_83,[],1,0.019978441976011056,28.1323,15.404,9.916826
0_65,[],1,0.017401765902274786,25.9773,19.1617,9.930123
0_55,[],1,0.012142147891588555,30.1756,15.262,9.915188
0_73,[],1,0.009247891496621165,26.1559,16.4569,9.930236
0_81,[],1,0.00846154327333446,26.9085,15.9297,9.916826
0_16,[],2,0.33141699587109164,40.0615,18.7249,9.218552
0_12,[],2,0.15568822610825545,50.0224,15.897,9.922248999999999
0_77,[],2,0.06247546439379167,42.0227,17.0529,9.855350999999999
0_75,[],2,0.06194299141632294,23.9529,18.8149,9.998681999999999
0_90,[],2,0.05030634137585309,29.7659,18.9216,9.803312
0_64,[],2,0.03777271370272173,41.23,17.1075,9.88202
0_9,[],2,0.03202996226583867,43.3048,15.9154,9.934707
0_44,[],2,0.031715571881974394,26.4824,18.0273,9.959793
0_84,[],2,0.03022167345735225,27.7409,17.9567,9.930123
0_50,[],2,0.02465691437596712,42.3656,14.3693,9.942625999999999
0_26,[],2,0.023913969269260357,31.0244,15.9727,9.942719
0_41,[],2,0.02117691028539196,38.9793,16.7132,9.895425
0_80,[],2,0.018003385872102828,39.4224,15.0969,9.942625999999999
0_86,[],2,0.016483541157222063,31.8981,16.9831,9.895518
0_74,[],2,0.014573155067161303,30.9391,16.6956,9.999697000000001
0_15,[],2,0.012631728840733669,37.4616,16.3717,9.922248999999999
0_22,[],2,0.012500699507956493,30.2224,17.5981,9.916446
0_2,[],2,0.011691128689001736,30.1224,17.0922,9.983933
0_67,[],2,0.00857108491509858,34.8536,15.9429,9.955219
0_4,[],2,0.007530782994229416,40.6071,16.4387,9.903458
0_82,[],2,0.006677740227436906,39.7909,16.6588,9.908491000000001
0_71,[],3,inf,24.1196,22.9734,10.172839
0_28,[],3,0.0930704856454865,26.9264,19.4254,10.016414000000001
0_51,[],3,0.06321537245596058,48.6246,19.4175,9.895425
0_69,[],3,0.04939497709469251,44.8745,17.7804,9.895518
0_56,[],3,0.04183384065263406,32.8012,17.2226,9.955378999999999
0_96,[],3,0.03999846725210951,34.1446,16.8332,9.990956
0_94,[],3,0.022841901746339842,30.3108,18.3596,9.984028
0_52,[],3,0.01651083870693554,39.5467,16.1318,9.999697000000001
0_54,[],3,0.01571276235929565,30.56,19.1907,9.955219
0_34,[],3,0.011003571861091091,34.8503,17.0913,9.903363
0_40,[],3,0.010585600741634187,34.5482,17.0057,9.969257
0_68,[],3,0.010327663163528832,40.4853,16.4199,9.961033
0_79,[],3,0.010235103927390184,39.0584,16.6275,9.930236
0_3,[],3,0.009893100419296814,35.7957,16.429,9.946059
0_6,[],3,0.009507133031928305,34.6378,18.3568,9.922163999999999
0_89,[],3,0.00631077101252718,41.2169,16.4481,9.912479000000001
0_66,[],3,0.005133356288299339,36.1379,17.0462,9.909989
0_49,[],3,0.005029223267146681,41.2289,16.3667,9.942719
0_93,[],3,0.003978438286090402,40.7121,17.0409,9.930123
0_1,[],3,-inf,inf,inf,9.722594
0_11,[],4,0.07540578295202628,36.6953,22.1804,9.903363
0_14,[],4,0.06744290198655974,45.4709,16.7521,9.930236
0_59,[],4,0.03593129806925571,36.1052,16.58,10.023912999999999
0_91,[],4,0.03216289229317362,34.9438,22.6106,9.907431999999998
0_99,[],4,0.028170753517972203,36.2251,18.3315,9.978197
0_23,[],4,0.01664226171169289,31.9391,19.2838,9.969257
0_61,[],4,0.016528598428438686,36.9257,16.516,9.961033
0_42,[],4,0.012881625810806874,43.1587,16.4707,9.942625999999999
0_98,[],4,0.011490927223345312,35.4883,17.5717,10.078721999999999
0_43,[],4,0.010982056426179143,41.5783,16.9306,9.916826
0_88,[],4,0.008053445517359899,36.057,16.871,9.984028
0_53,[],4,0.00722563684059448,39.707,16.784,9.942719
