cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
83_45,"['82_78', '82_78']",1,inf,14.9735,8.51793,8.359866999999998
77_49,"['76_64', '76_77']",1,inf,6.73404,7.94768,8.429331
83_57,"['79_71', '82_26']",1,inf,14.4954,7.22921,8.438816000000001
83_7,"['79_71', '82_74']",1,0.10370142920466276,7.23525,8.61237,8.383925000000001
83_66,"['82_26', '82_4']",1,0.08048468121658137,6.77514,7.93065,8.40559
83_29,"['82_78', '79_18']",1,0.06403036225559652,8.06896,8.49651,8.360972
83_56,"['82_26', '82_26']",1,0.050759046757836435,7.50276,7.44665,8.435141999999999
79_18,"['78_42', '78_47']",1,0.040712505483582136,11.6077,8.35052,8.378166
83_46,"['79_18', '82_51']",1,0.040595525053262714,14.6983,8.30862,8.372145999999999
83_16,"['82_51', '82_31']",1,0.03249749730832953,14.5388,7.44315,8.408460999999999
82_4,"['81_46', '81_73']",1,0.03236227530633276,7.51325,7.61343,8.40183
83_60,"['82_55', '82_26']",1,0.030637055049428263,14.4495,7.73416,8.393129
83_33,"['82_31', '82_83']",1,0.03058229498294383,7.98006,8.00792,8.397018
83_75,"['82_56', '82_53']",1,0.019163312844155095,14.7169,7.99673,8.380071
82_53,"['81_28', '80_2']",1,0.010016958690463852,14.409,7.7266,8.40156
83_68,"['82_31', '82_83']",1,0.008594705312576587,14.647,7.72755,8.385003000000001
83_64,"['82_78', '82_47']",2,0.29123545919846494,11.5399,8.09262,8.398988000000001
83_36,"['82_51', '82_31']",2,0.2865704332564375,9.01443,8.23881,8.399268
83_2,"['81_73', '82_56']",2,0.22243433330821935,14.3911,7.64243,8.419719
82_74,"['81_47', '78_35']",2,0.16164310788516498,8.67981,8.99274,8.371405
78_35,"['77_75', '77_28']",2,0.13734106187923686,7.84544,9.11478,8.387364
82_85,"['81_32', '81_47']",2,0.1028540399052913,11.8006,8.5187,8.378131
81_73,"['79_71', '79_18']",2,0.0689896781958816,14.5966,7.32564,8.447566
83_21,"['81_73', '82_31']",2,0.05493256618838869,8.33658,8.34201,8.436006999999998
82_60,"['81_83', '80_32']",2,0.053914612075027096,7.64732,7.47347,8.455137
83_89,"['82_4', '77_49']",2,0.04343094493611505,8.32838,8.54296,8.397916
83_26,"['82_85', '79_18']",2,0.03599533491558532,14.8444,8.38184,8.374187
83_47,"['82_4', '81_73']",2,0.034570538540730035,14.7228,7.36814,8.441182000000001
83_1,"['82_83', '82_47']",2,0.0312655772445704,14.6713,7.90089,8.385637
83_71,"['82_56', '82_53']",2,0.028742769820513388,14.8857,8.06878,8.383458000000001
83_34,"['81_11', '82_31']",2,0.02848478308061019,14.6225,7.68394,8.417664
82_78,"['81_48', '81_76']",2,0.02552703452257963,14.9225,8.50713,8.363724999999999
83_83,"['81_73', '82_51']",2,0.024879551980832842,14.803,7.83449,8.406113999999999
83_80,"['82_28', '82_51']",2,0.02453481777967799,14.9286,7.79378,8.394573
83_35,"['79_71', '82_15']",2,0.019437740124256732,14.5393,7.39301,8.456237999999999
83_27,"['81_32', '82_53']",2,0.017121522457601915,14.632,7.45946,8.41647
83_23,"['82_78', '82_60']",2,0.015959920816524364,14.8688,7.78727,8.414179
83_28,"['79_18', '78_35']",3,inf,8.93202,9.31044,8.636999
83_38,"['81_73', '78_35']",3,0.2780115785022605,12.5024,8.21982,8.530705000000001
83_59,"['82_78', '82_78']",3,0.11016025509837475,15.8866,9.27936,8.365385999999999
83_76,"['82_31', '82_78']",3,0.08198030414696783,15.7439,8.62152,8.379362
83_81,"['82_60', '82_78']",3,0.06243170830874169,15.8952,8.42323,8.385102
83_25,"['82_53', '82_4']",3,0.04375398760182662,15.8272,8.47319,8.385906
83_43,"['81_73', '81_11']",3,0.04278048696616364,14.6189,7.60764,8.451874
83_63,"['81_73', '81_73']",3,0.035503946912196445,14.6573,7.33473,8.45049
83_5,"['81_73', '79_18']",3,0.023487741756387414,14.6468,7.50604,8.427648000000001
83_11,"['82_78', '78_35']",3,0.01954849546571715,14.6789,7.91145,8.386296999999999
83_85,"['82_60', '82_78']",3,0.019419834473181907,14.4409,7.67065,8.420238
83_78,"['82_60', '82_56']",3,0.017771700359240875,14.6363,7.53089,8.455186999999999
83_30,"['82_51', '82_31']",3,0.016594762544573635,14.825,7.52924,8.419054
83_17,"['77_49', '82_4']",3,0.013710558127455414,14.4058,7.80253,8.442281
83_31,"['82_78', '82_56']",4,0.06085961131936178,16.3866,9.35223,8.368806000000001
83_54,"['82_31', '82_60']",4,0.045471694367618665,14.6952,7.55757,8.445121
83_88,"['78_35', '78_35']",4,0.04518500852182348,15.4628,9.00834,8.38805
83_24,"['81_73', '77_49']",4,0.04414545696864533,14.4774,7.71961,8.431726999999999
83_86,"['79_18', '82_74']",4,0.03691928498037793,16.4084,8.99601,8.380735
83_10,"['82_39', '82_56']",4,0.032849543245435986,14.8006,8.16765,8.390144
83_73,"['82_78', '81_73']",4,0.032759546624153105,14.4987,7.76084,8.423918
