cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
64_80,"['62_30', '62_30']",1,inf,-23835.7,1.4882,6.087856
66_89,"['65_70', '64_61']",1,inf,-27076.7,0.548652,6.1393569999999995
64_34,"['62_4', '63_56']",1,inf,-32189.2,1.6439,6.14351
65_5,"['64_69', '64_80']",1,0.06931777138423521,-27304.0,1.10872,6.11388
64_61,"['63_56', '63_81']",1,0.050990393352864385,-31113.8,0.590929,6.139342
66_15,"['65_40', '65_7']",1,0.04717245925133032,-24320.5,1.82694,6.113867
65_1,"['64_47', '64_69']",1,0.04488577705839702,-27771.9,2.43615,6.091021
66_31,"['64_34', '65_11']",1,0.03547824675476151,-32104.7,1.50647,6.262299
66_34,"['64_61', '65_46']",1,0.02400398702136876,-28933.6,2.14494,6.117018
65_38,"['63_56', '64_33']",1,0.02017494225273707,-28662.3,0.565266,6.234698999999999
66_8,"['65_56', '65_56']",1,0.019892761777172085,-29332.1,2.17692,6.117031000000001
66_6,"['64_69', '65_5']",1,0.015478347822591334,-29294.9,1.96321,6.117031000000001
66_45,"['65_38', '65_4']",1,0.013134977992845034,-28795.2,0.580722,6.224556
66_20,"['64_61', '64_61']",2,0.08498320587432619,-30512.5,0.597557,6.139342
65_13,"['64_61', '63_56']",2,0.061786452784093955,-31881.8,1.53176,6.305374
66_33,"['65_7', '65_26']",2,0.060505095691466546,-26442.4,1.40074,6.11388
66_74,"['64_80', '64_80']",2,0.03620025871365418,-23792.2,1.59747,6.087856
65_7,"['63_39', '64_39']",2,0.03490507156721046,-27904.6,2.26746,6.117018
65_56,"['64_39', '64_69']",2,0.014953626852837515,-29143.4,2.18038,6.117031000000001
64_69,"['63_73', '63_11']",2,0.009756775253894168,-29043.3,1.98612,6.117031000000001
66_62,"['65_1', '63_39']",3,0.048116177574830776,-24987.5,1.11187,6.140045
66_28,"['63_56', '65_4']",3,0.044102377532276776,-29924.5,1.6172,6.2346509999999995
66_77,"['65_70', '65_30']",3,0.03826522107700306,-28517.1,1.99815,6.117031000000001
66_79,"['65_1', '64_34']",3,0.03113715788332702,-25399.9,1.45487,6.146617999999999
66_2,"['64_34', '65_1']",3,0.021729310013137933,-29254.3,1.71424,6.143523999999999
66_53,"['65_5', '65_46']",3,0.014818782143581516,-25657.9,1.54142,6.140547000000001
66_59,"['65_7', '64_69']",4,0.06382753085163778,-26996.2,2.5831,6.117031000000001
66_61,"['65_43', '65_43']",4,0.04253623014162321,-25487.4,1.8454,6.167876000000001
66_22,"['65_11', '64_81']",4,0.028149119496490828,-24734.9,2.36731,6.1436660000000005
66_48,"['63_39', '65_1']",4,0.024821263517988537,-28835.1,2.17668,6.217256
66_19,"['65_77', '64_34']",4,0.024498378517809387,-26625.9,2.38719,6.1436660000000005
66_63,"['65_77', '64_81']",5,0.45013950264207414,-22877.9,2.30713,6.351971000000001
66_49,"['65_1', '64_34']",5,0.0962927401544711,-25733.7,2.97312,6.117031000000001
66_25,"['65_13', '65_70']",6,1.121250487860154,-21924.3,3.77242,6.117031000000001
66_50,"['64_80', '65_38']",6,0.10260723443111576,-22927.9,3.35826,6.143637
66_51,"['65_38', '65_13']",7,inf,15.0533,7.87807,9.316348999999999
66_85,"['63_39', '65_38']",7,0.7819170077292568,14.8258,8.88752,9.204412
66_46,"['65_25', '64_69']",7,0.39729969222033745,15.4718,10.0419,7.6281240000000015
66_26,"['64_61', '64_80']",7,0.380116293562462,15.3019,7.70649,8.561727000000001
66_40,"['64_61', '64_51']",7,0.08865437215037253,14.8723,9.27141,7.812044
66_64,"['65_46', '63_39']",7,0.050369726056133914,15.5627,8.51685,7.721437
66_70,"['64_61', '65_5']",7,0.03646010751179206,14.8854,8.2933,8.715934
66_72,"['64_51', '65_40']",7,0.03283960521298085,15.5446,8.6079,7.652623000000001
66_80,"['65_25', '64_69']",7,0.018064718690455436,15.0166,8.37755,8.565175
66_35,"['65_1', '65_64']",7,0.007879113962921869,15.7851,9.87906,7.644252999999999
66_43,"['65_38', '64_80']",7,0.006309334507132333,15.4388,10.0077,7.644254999999999
66_3,"['65_38', '65_13']",8,0.19426639179131286,15.8082,9.85452,7.882173
66_4,"['64_80', '65_26']",8,0.06138921702061605,15.3913,10.559,8.55009
66_71,"['65_26', '65_7']",8,0.04434797710199713,15.895,10.7314,7.660913000000001
66_58,"['65_7', '64_80']",8,0.02988948052904118,15.3808,7.88824,8.585388000000002
66_76,"['64_34', '64_80']",8,0.01825455379660195,15.5813,7.8432,8.600385999999999
66_10,"['65_5', '65_56']",8,0.01080406154439522,15.2853,8.55123,8.576868
66_82,"['63_39', '65_4']",8,0.007747865107688675,15.6677,9.92359,8.572818999999999
66_44,"['64_61', '65_30']",8,0.0031744659773723805,15.69,10.0227,8.569236
66_68,"['64_80', '65_13']",8,0.0013813484554130527,15.9693,10.1087,7.628416
66_36,"['65_5', '65_30']",9,inf,16.3793,10.1034,8.553801
66_24,"['65_38', '61_61']",9,0.21070626634496945,16.0346,10.2797,8.429581
66_17,"['65_11', '65_13']",9,0.09570880427845412,15.4974,8.17806,9.072900999999998
66_55,"['65_11', '65_70']",9,0.06284744342238882,15.2962,8.8495,8.941272000000001
66_13,"['65_38', '64_51']",9,0.01739688568218466,15.636,11.1699,8.569313
66_21,"['64_34', '63_39']",9,0.014282729394867492,15.5323,8.5129,8.591978000000001
66_78,"['65_56', '65_38']",9,0.013528578120183743,15.7043,11.0592,8.569295
66_66,"['65_35', '65_1']",9,0.01054958170446288,15.4567,9.45447,8.592013
66_30,"['64_80', '65_56']",9,0.007847936656372786,15.4543,8.33083,8.59204
66_16,"['64_81', '64_69']",9,0.00672760650321565,15.4828,9.39876,8.580397
66_83,"['65_13', '65_5']",9,0.006651132987400992,15.8706,9.96252,8.557527
66_38,"['65_61', '65_26']",9,0.006133372674030099,16.0608,10.1173,7.628416
66_1,"['64_69', '65_61']",9,0.0032010138213808483,16.1893,9.88653,8.557575
66_69,"['65_30', '65_13']",9,0.002254421159432311,16.1864,9.90425,8.569290999999998
66_5,"['65_25', '65_56']",10,inf,16.0607,11.3247,8.565484000000001
66_41,"['64_61', '63_39']",10,0.03698730698149583,15.3087,9.36784,9.016777000000001
66_67,"['65_46', '64_61']",10,0.019100291473057817,15.5291,10.4845,8.633945
66_65,"['64_34', '63_56']",10,0.006615188271239654,16.0596,10.3064,8.569236
66_84,"['65_70', '65_11']",10,0.00579695243100528,15.6276,9.30634,8.592107000000002
66_11,"['65_30', '65_70']",10,0.005354783783501775,16.3499,9.98266,8.569236
66_88,"['65_1', '64_61']",10,0.0048169883901519415,15.9543,10.1408,8.569314
66_7,"['65_30', '65_26']",10,0.004677616840174218,16.3372,10.1621,8.569236
66_29,"['62_8', '65_11']",10,0.0036870252935577354,15.9189,9.89949,8.587636999999999
66_18,"['65_26', '65_70']",10,0.0034164559762738197,15.4174,9.35974,9.271588
66_12,"['64_80', '65_11']",10,0.0030066207521716746,15.8923,10.3774,8.581002
66_39,"['65_56', '65_13']",10,0.0021818118798463695,15.9867,10.1219,8.569290999999998
66_23,"['65_11', '65_30']",11,0.045261020788463044,15.952,9.33104,8.75402
66_27,"['65_61', '64_61']",11,0.03315448898516292,15.6761,9.76329,8.637243999999999
66_0,"['65_40', '64_80']",11,0.02937710917395349,16.0353,9.54718,8.600408
66_86,"['65_26', '65_1']",11,0.021214725914885976,15.875,10.8072,8.602706000000001
66_75,"['64_69', '64_69']",11,0.0159849128993373,15.6345,10.0435,8.651198999999998
66_52,"['65_38', '65_26']",11,0.014282144078216789,15.6532,11.2466,8.628880999999998
66_60,"['64_80', '64_81']",11,0.013417348556897371,15.9413,10.1912,8.627372999999999
66_9,"['64_61', '64_80']",11,0.009944356655608598,16.3225,10.3811,8.569290999999998
66_14,"['65_40', '65_25']",11,0.006877795782828192,16.1589,10.2232,8.581024
66_73,"['65_56', '64_61']",11,0.006596311105042823,16.0031,10.2652,8.581024
66_57,"['65_56', '65_5']",11,0.0030613873109158725,15.821,9.43371,8.627715
66_87,"['64_81', '65_56']",12,0.061243390191493094,16.0547,9.42653,8.846058999999999
66_47,"['65_43', '64_69']",12,0.01802661751515846,15.6798,9.84686,8.670425
66_54,"['65_77', '65_7']",12,0.009153497087605265,16.3313,10.3508,8.592884999999999
66_32,"['64_69', '65_4']",13,0.030630724237287327,15.7234,10.87,8.682092999999998
66_56,"['65_56', '64_51']",13,0.0036156101998195203,15.8568,11.303,8.682064
66_42,"['61_61', '64_80']",14,0.04094513198108342,16.0509,11.0242,8.965186
66_37,"['64_80', '65_35']",15,-inf,inf,inf,inf
66_81,"['65_56', '65_1']",15,-inf,inf,inf,inf
