cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years,Global GDP loss,SLR - ft
14_117,"['13_102', '13_103']",1,inf,15.7123,14.1354,11.179109,100.817,1.82528
10_51,"['9_50', '9_23']",1,inf,10.419,15.5469,9.424856,105.287,1.89899
15_113,"['14_21', '14_21']",1,inf,21.1335,13.9075,8.756069,120.314,1.95735
15_87,"['14_68', '14_148']",1,inf,22.8979,11.4077,9.709646999999999,125.322,2.00776
0_34,[],1,inf,inf,inf,inf,0.0,inf
15_97,"['10_51', '14_171']",1,inf,inf,inf,inf,0.0,inf
15_163,"['14_21', '12_119']",1,0.6480907688351761,11.3299,21.2371,10.364633000000001,99.9479,1.8494
14_151,"['13_66', '13_45']",1,0.01612239650295703,11.1577,14.5308,9.672136000000002,106.933,1.89518
12_63,"['11_124', '11_138']",1,0.008736178966315305,13.8106,14.4197,12.632943000000001,101.906,1.84378
13_159,"['12_74', '11_113']",1,0.006942658781177669,15.3678,15.3982,11.917938,102.514,1.84026
14_26,"['13_145', '13_21']",1,0.006151967086654718,12.2005,14.2491,9.836214,104.037,1.87273
15_7,"['14_99', '14_99']",1,0.005849832861918209,20.1449,13.5442,10.119074999999999,109.154,1.86341
15_66,"['14_117', '12_4']",1,0.005476986371817973,22.4684,13.0766,10.376510999999999,113.923,1.8951
15_10,"['14_21', '8_140']",1,0.005059141167395257,20.7038,12.4068,9.953656,141.386,2.14867
15_147,"['14_21', '13_155']",1,0.005020570840833157,10.7133,15.026,10.371154,103.351,1.86752
15_177,"['14_21', '14_68']",1,0.0045062998200051,13.4924,14.0331,9.224481,104.308,1.87046
15_103,"['14_68', '14_21']",1,0.004397017228079182,23.1258,13.6849,9.12888,118.931,1.93736
15_159,"['14_139', '13_155']",1,0.003908459758292555,12.2452,16.0197,10.388339,102.176,1.8582
15_157,"['14_63', '14_112']",1,0.0038441758806891167,14.7622,13.0966,9.873972000000002,126.564,2.04742
15_78,"['14_148', '14_112']",1,0.003304191308819721,17.1726,13.0608,9.806794,123.237,2.00863
15_62,"['14_4', '14_64']",1,0.0030663409616867423,20.7192,11.7771,9.875438999999998,122.781,1.98586
15_88,"['14_99', '14_57']",1,0.0030599125739264534,19.8008,13.2247,9.599200000000002,115.342,1.92368
