cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ
65_20,"['64_115', '63_140']",1,inf,15.9524,16.5049
66_106,"['65_98', '65_147']",1,inf,34.557,13.2186
67_79,"['66_122', '66_149']",1,0.6076589163797027,16.0276,16.1384
66_131,"['63_123', '63_140']",1,0.5187622673860297,16.1763,14.5475
66_150,"['65_114', '65_93']",1,0.3795511782939329,20.8785,14.0753
67_52,"['66_131', '63_123']",1,0.36976241458878156,16.5054,14.432
67_107,"['66_6', '65_148']",1,0.241416608997309,26.832,13.5752
67_156,"['65_148', '65_172']",1,0.23877910577986852,28.6167,13.4418
67_139,"['66_176', '66_6']",1,0.17209471248466288,30.2514,13.3945
65_15,"['64_72', '64_19']",1,0.1392883047785287,24.2968,13.7706
67_178,"['65_15', '66_46']",1,0.13397655449203213,25.3894,13.6651
67_143,"['66_16', '66_123']",1,0.1308630434460808,21.6152,13.925
67_64,"['65_147', '66_18']",1,0.12303315671594922,31.5252,13.39
67_129,"['65_172', '65_165']",1,0.11967045976883967,32.3128,13.3543
66_123,"['65_132', '65_15']",1,0.1135808069802412,22.496,13.8128
65_148,"['64_120', '64_157']",1,0.10963445536080214,23.0569,13.8064
65_147,"['63_152', '64_19']",1,0.09660585541369102,33.4595,13.3384
67_133,"['66_178', '66_18']",1,0.09544515840197684,33.8797,13.3136
65_3,"['64_89', '64_120']",1,0.09083038444868179,25.3375,13.7515
67_29,"['66_7', '66_150']",1,0.08533305933575468,21.3306,14.037
67_131,"['62_126', '66_131']",1,0.05283508241801124,16.2173,14.4671
67_11,"['65_20', '66_131']",2,inf,16.0351,16.5641
67_20,"['66_106', '66_106']",2,inf,34.5595,13.2339
63_123,"['62_164', '62_26']",2,0.9177544340018029,16.9449,14.4633
66_122,"['62_126', '64_56']",2,0.6799465845241809,16.0743,16.3149
67_93,"['66_156', '66_150']",2,0.3505113116234036,20.936,14.1326
67_115,"['66_106', '66_110']",2,0.2342087586169832,29.3633,13.521
66_176,"['65_173', '65_172']",2,0.18585053515764402,27.0961,13.5882
67_9,"['66_17', '65_165']",2,0.1449098240964759,25.0489,13.7795
67_151,"['65_35', '66_50']",2,0.13308147995580202,23.447,13.8721
67_76,"['66_17', '66_25']",2,0.12332450085512188,33.4891,13.3398
67_82,"['66_152', '66_15']",2,0.11212516444864767,26.736,13.6676
66_46,"['65_37', '64_89']",2,0.1066552536711711,30.5252,13.4247
67_149,"['66_25', '66_25']",2,0.09954274910493352,32.0446,13.3947
66_16,"['65_75', '64_19']",2,0.09404750940717488,25.8907,13.7449
67_21,"['66_178', '66_46']",2,0.09103001791561621,30.6743,13.4015
67_169,"['66_18', '66_71']",2,0.08867611417918686,23.1043,13.8731
67_85,"['65_36', '65_3']",2,0.08424588381719061,22.1531,13.9348
67_117,"['66_152', '66_128']",2,0.0826139954987111,21.387,14.0946
66_50,"['65_53', '65_93']",2,0.07497139492245977,21.7883,14.0107
67_42,"['66_6', '65_165']",2,0.06435271024297066,32.9742,13.3596
67_49,"['65_148', '65_151']",2,0.05583253375747889,25.5562,13.7687
67_130,"['66_150', '66_176']",2,0.04248436945900505,22.051,13.9643
67_179,"['65_165', '66_178']",2,0.037194246130911025,32.4789,13.3725
66_178,"['63_152', '65_165']",2,0.03011102023645955,32.4098,13.382
67_37,"['63_123', '63_123']",3,inf,16.9635,14.491
67_173,"['66_106', '66_161']",3,inf,35.0265,13.2902
67_70,"['66_144', '66_20']",3,0.5200554287324297,21.3217,14.3185
66_25,"['65_165', '65_53']",3,0.2948238266887557,32.0335,13.405
67_86,"['66_50', '65_3']",3,0.2772270708969864,23.147,13.8914
67_33,"['66_7', '66_150']",3,0.27104348544990003,21.5542,14.1717
67_81,"['66_123', '65_148']",3,0.24200207298734672,25.9704,13.8371
66_18,"['64_19', '64_19']",3,0.2166108733431062,26.9939,13.7149
67_148,"['65_36', '66_157']",3,0.15968024952122742,22.0884,14.044
67_102,"['66_71', '65_15']",3,0.15842828101496662,26.4262,13.8188
67_97,"['65_15', '65_148']",3,0.14965615202074295,22.6461,13.949
67_155,"['66_136', '66_46']",3,0.14023680000300945,28.056,13.6256
67_160,"['65_3', '65_151']",3,0.1331668450157219,27.5259,13.6318
67_36,"['66_178', '66_6']",3,0.13150637492294592,29.5641,13.5989
67_118,"['66_178', '66_138']",3,0.1297952687099341,31.5438,13.4127
66_6,"['65_172', '65_3']",3,0.12527308742445412,29.9352,13.5448
67_90,"['65_147', '66_16']",3,0.11360985403703878,30.7841,13.4778
67_127,"['66_71', '65_3']",3,0.10279275884024708,30.5311,13.4818
67_159,"['66_128', '65_3']",3,0.08622898174547336,22.2639,14.0124
66_17,"['65_15', '64_120']",3,0.06559805780810908,29.5815,13.5691
67_106,"['66_50', '66_128']",3,0.03603178349461176,22.0994,14.0162
67_137,"['66_46', '66_141']",4,inf,32.074,13.4806
67_174,"['66_122', '64_56']",4,inf,16.9805,14.9355
67_44,"['63_123', '63_123']",4,0.6068624828665808,17.0767,14.5378
67_168,"['66_150', '65_36']",4,0.3475197449723566,21.6834,14.5059
67_147,"['66_50', '66_18']",4,0.3119669290419325,24.0942,13.8976
67_163,"['65_114', '66_123']",4,0.3042167574496012,22.2673,14.3682
67_135,"['64_19', '65_148']",4,0.2687201143891348,27.1252,13.8331
67_128,"['66_128', '66_50']",4,0.2557762435855789,22.4212,14.0353
67_73,"['66_25', '64_19']",4,0.16622758348576244,28.5886,13.6295
67_22,"['66_30', '65_148']",4,0.16062058268301527,23.3139,13.9196
67_158,"['66_136', '66_136']",4,0.14900329153855443,30.2471,13.6067
67_66,"['66_35', '66_168']",4,0.12726673198879046,27.7211,13.7104
67_40,"['66_150', '65_165']",4,0.12381626428155659,27.1376,13.8
67_92,"['65_15', '66_150']",4,0.12190220628620242,22.8598,14.0123
67_78,"['66_150', '66_123']",4,0.11294821993973059,22.0539,14.4425
67_56,"['66_77', '66_15']",4,0.1110568905696426,31.0319,13.489
67_108,"['65_165', '65_172']",4,0.10944454891564914,30.9227,13.5312
67_98,"['66_161', '65_148']",4,0.09665459076483139,30.4029,13.5876
67_8,"['65_151', '65_172']",4,0.0860575503628137,28.1749,13.6488
67_51,"['66_18', '66_71']",4,0.07240560212000716,27.8499,13.6835
67_161,"['66_156', '66_128']",4,0.06812386856229664,21.8261,14.49
67_154,"['66_30', '66_128']",4,0.04486751304182426,22.6058,14.0287
67_31,"['65_35', '66_149']",5,inf,17.479,16.0292
67_71,"['66_71', '66_77']",5,inf,31.7436,13.5139
67_144,"['65_36', '65_20']",5,0.6180686663444209,18.1708,15.603
67_150,"['66_150', '63_123']",5,0.4486752337141108,18.2079,14.6031
67_50,"['66_141', '66_18']",5,0.42825181066668355,27.9208,13.6911
67_59,"['66_176', '66_150']",5,0.4281591898945194,23.688,13.9301
67_61,"['66_50', '66_161']",5,0.32606130249567805,22.584,14.0611
67_6,"['65_114', '63_123']",5,0.26401813941594876,18.7643,14.5791
67_96,"['65_114', '66_128']",5,0.2582435367680802,21.8017,14.5092
67_171,"['66_156', '66_28']",5,0.24072264020709977,21.788,14.5703
67_89,"['66_6', '66_17']",5,0.1925460883067648,28.6538,13.6336
67_177,"['66_141', '66_157']",5,0.18499456294124608,30.8075,13.624
67_14,"['66_128', '64_19']",5,0.12947565157924892,23.5736,14.0015
67_72,"['65_15', '66_161']",5,0.07920033774774252,31.3184,13.5156
67_77,"['66_39', '66_77']",5,0.07891218689756091,31.0301,13.5873
67_136,"['65_151', '66_17']",5,0.07424604464297013,28.3059,13.6672
67_18,"['66_79', '66_50']",6,inf,18.4304,15.5708
67_165,"['66_110', '66_46']",6,inf,29.519,13.6634
67_38,"['66_136', '66_177']",6,0.6648416965499369,23.8777,13.9482
67_126,"['66_123', '66_26']",6,0.588630534951071,19.3491,14.6851
67_43,"['66_50', '66_110']",6,0.5433982888842069,28.0541,13.7932
67_121,"['63_123', '65_148']",6,0.5064181834851004,18.991,15.1644
67_88,"['66_20', '66_28']",6,0.4347491865641523,22.155,14.5859
67_45,"['66_16', '66_123']",6,0.2912276784246486,23.7061,14.3134
67_32,"['66_123', '66_149']",6,0.26362133242818125,18.7117,15.5414
67_34,"['66_106', '66_176']",6,0.20015940184086378,28.3115,13.6744
67_2,"['66_141', '66_50']",6,0.19845953009321554,22.8659,14.4608
67_60,"['66_50', '65_3']",6,0.15304948309704575,22.8796,14.332
67_12,"['66_28', '66_106']",7,inf,28.6578,13.719
67_63,"['66_149', '66_50']",7,inf,18.6647,15.6223
67_176,"['65_15', '66_128']",7,0.7874953110279941,24.216,13.9526
67_112,"['66_7', '66_35']",7,0.567220894317463,28.2876,13.8177
67_132,"['63_123', '66_169']",7,0.565513731506737,20.4591,14.7294
67_35,"['65_148', '64_19']",7,0.47490536872690864,23.1014,14.3629
67_145,"['65_20', '66_150']",7,0.4339239732957903,19.02,15.1995
67_166,"['63_140', '66_150']",7,0.39100143287383,19.8391,14.8179
67_138,"['66_71', '66_123']",7,0.32710991274359136,23.247,14.3565
67_75,"['66_79', '66_25']",7,0.257695025455758,18.9928,15.4826
67_114,"['66_16', '66_176']",8,inf,28.9694,13.8914
67_170,"['65_20', '66_150']",8,inf,18.8172,15.7847
67_16,"['66_161', '66_150']",8,0.6407255927015509,23.2119,14.4647
67_142,"['66_176', '66_131']",8,0.44600583180403675,21.1055,14.7385
67_47,"['66_150', '65_147']",8,0.3914462221959534,26.3394,13.9634
67_122,"['66_150', '66_176']",8,0.36746143284068333,24.4541,14.1499
67_3,"['66_46', '65_20']",8,0.341911461176278,19.2448,15.2787
67_116,"['66_150', '66_122']",8,0.3093771759645068,19.1312,15.5425
67_175,"['66_150', '65_20']",8,0.1975036433102399,19.9025,15.039
67_19,"['66_150', '66_161']",8,0.18653146852228586,25.4801,13.9818
67_124,"['66_79', '66_141']",8,0.1648459144578193,19.9454,14.8789
67_67,"['66_178', '66_150']",8,0.11101542888857882,24.6945,14.0098
